algorithm,angle_target,p,seed,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,top50_hits,top10_hits,global_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts95_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts95_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts95_sec,best_top50_rank,best_top50_exact_repaired_qubo_energy,best_top50_match,best_top50_flow_bits,juliqaoa_top50_probability,juliqaoa_top10_probability,juliqaoa_global_probability
QAOA_reduced_surrogate_JuliQAOA_transfer,energy,2,92001,16,32768,0,12.163851327,13226,32768,699,158,16,0.0213317871094,0.019822557495,0.022953234051,0.051598368361,0.00482177734375,0.00412759507629,0.00563204748827,0.230150995567,0.00048828125,0.000300589644611,0.000793076662353,2.27701001098,1,11.70949999999975,global_optimum,1001110100111100011,0.021129677889059027,0.00442041380316528,0.000346952067282077
QAOA_reduced_surrogate_JuliQAOA_transfer,energy,3,92001,16,32768,0,16.273471669,8257,32768,1608,316,23,0.049072265625,0.0467857447978,0.0514645003972,0.0297976165814,0.0096435546875,0.00864140915428,0.0107606576969,0.153954352337,0.000701904296875,0.000467781784711,0.00105308053495,2.11910716588,1,11.70949999999975,global_optimum,1001110100111100011,0.04919869607643499,0.0098726635881801,0.0006616401656696117
QAOA_reduced_surrogate_JuliQAOA_transfer,energy,4,92001,16,32768,0,23.760740064,6565,32768,3603,791,64,0.109954833984,0.106613279693,0.113387829121,0.0188531262715,0.0241394042969,0.0225325394566,0.0258578282563,0.0891897896689,0.001953125,0.00152994207109,0.00249306832295,1.11160932978,1,11.70949999999975,global_optimum,1001110100111100011,0.11007038056664137,0.023335486093359788,0.0016029260869146298
QAOA_reduced_surrogate_JuliQAOA_transfer,energy,5,92001,16,32768,0,29.37403103,6098,32768,4931,1119,96,0.150482177734,0.146651901592,0.154394393631,0.0170320614493,0.0341491699219,0.0322367497728,0.0361708025351,0.077988912952,0.0029296875,0.00239990414142,0.00357600231067,0.916145621114,1,11.70949999999975,global_optimum,1001110100111100011,0.15068229084189524,0.03402770663198957,0.0026325613174018516
