algorithm,p,optimizer_reads,final_reads,maximum_iterations,initial_parameters,qiskit_parameter_names,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],16,1,0.001953125,260.67199375000496,268.6872999999999,not_in_gurobi_pool,,0001110100011110011,00010101010000001,000111010001111001100010101010000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],19,1,0.001953125,283.999543749997,270.6407,not_in_gurobi_pool,,0100101100010000000,10011101110000000,010010110001000000010011101110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],23,1,0.001953125,313.45479374999945,278.7217999999997,not_in_gurobi_pool,,0000110101110000001,11001000010001000,000011010111000000111001000010001000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],22,1,0.001953125,303.9931437500002,290.63430000000017,not_in_gurobi_pool,,1001111111010000101,00000111100000000,100111111101000010100000111100000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],20,1,0.001953125,289.05311875000075,307.7555,not_in_gurobi_pool,,1101110010000010011,00000001010100101,110111001000001001100000001010100101,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],21,1,0.001953125,291.8406187499879,310.5429999999998,not_in_gurobi_pool,,0010010010001100011,00000100011100011,001001001000110001100000100011100011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],25,1,0.001953125,325.8919437499967,312.53310000000005,not_in_gurobi_pool,,1000111100011010011,01010111110000101,100011110001101001101010111110000101,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],24,1,0.001953125,316.8386937500004,324.854,not_in_gurobi_pool,,1010001110011001101,00000111010000000,101000111001100110100000111010000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],33,1,0.001953125,346.42184375000056,333.06299999999993,not_in_gurobi_pool,,1010101101110001111,00000100000000110,101010110111000111100000100000000110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],31,1,0.001953125,341.47499374998324,349.4902999999999,not_in_gurobi_pool,,1010000010000001001,10100100011000000,101000001000000100110100100011000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],36,1,0.001953125,364.4601437499982,351.1013,not_in_gurobi_pool,,1010100100011110011,00110100011000001,101010010001111001100110100011000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],37,1,0.001953125,365.2637437500041,351.90489999999977,not_in_gurobi_pool,,0001110100101011010,00000000000001100,000111010010101101000000000000001100,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],42,1,0.001953125,377.33611874999815,353.2902,not_in_gurobi_pool,,0110110100011100011,00010000011110011,011011010001110001100010000011110011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],27,1,0.001953125,335.9425187500051,354.6448999999999,not_in_gurobi_pool,,0001110010001101011,00000101010000010,000111001000110101100000101010000010,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],34,1,0.001953125,347.2960937499861,355.31139999999976,not_in_gurobi_pool,,1000001010000010011,01000111110000101,100000101000001001101000111110000101,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],28,1,0.001953125,338.72791874997915,357.43029999999993,not_in_gurobi_pool,,1100001101000100001,10000101110000000,110000110100010000110000101110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],29,1,0.001953125,339.2599187499877,357.96229999999997,not_in_gurobi_pool,,1100101001000001000,10000101110000000,110010100100000100010000101110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],30,1,0.001953125,340.0499187499936,358.7522999999999,not_in_gurobi_pool,,0010111100010001011,00010111010100110,001011110001000101100010111010100110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],40,1,0.001953125,372.6602437500055,359.3014,not_in_gurobi_pool,,1000101010011000000,11001111110000000,100010101001100000011001111110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],26,1,0.001953125,329.94574374999365,359.3352000000001,not_in_gurobi_pool,,1110101001000001011,00000101010100110,111010100100000101100000101010100110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],32,1,0.001953125,342.7879187499857,361.49030000000016,not_in_gurobi_pool,,1100001110000000111,00000101110000111,110000111000000011100000101110000111,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],38,1,0.001953125,366.45866875000024,363.7868999999998,not_in_gurobi_pool,,0001100000111010111,00100000000000101,000110000011101011100100000000000101,true,single,36,1.0e-10,64
