algorithm,seed,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,top50_hits,top10_hits,global_hits,feasible_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts99_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts99_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts99_sec,feasible_hit_rate,feasible_hit_rate_wilson95_low,feasible_hit_rate_wilson95_high,feasible_tts99_sec,best_top50_rank,best_top50_exact_repaired_qubo_energy,best_top50_match,best_top50_flow_bits
VQE_reduced_surrogate_top50_revisit,74001,128,262144,25,15.812079204,114735,262144,54,19,3,31,0.000205993652344,0.000157895468897,0.000268739586339,1.34835517321,7.24792480469e-05,4.64031884538e-05,0.000113206971172,3.83238321039,1.14440917969e-05,3.89203141708e-06,3.36496045008e-05,24.2723233032,0.000118255615234,8.33155926404e-05,0.000167845959766,2.34885473741,1,11.70949999999975,global_optimum,1001110100111100011
VQE_reduced_surrogate_top50_revisit,74007,128,262144,25,12.599367739,126890,262144,84,24,3,68,0.000320434570312,0.000258853284402,0.000396660252786,0.690662057531,9.1552734375e-05,6.15267776451e-05,0.000136229795639,2.41750945245,1.14440917969e-05,3.89203141708e-06,3.36496045008e-05,19.3406523729,0.000259399414062,0.000204643318516,0.000328801694964,0.853162295284,1,11.70949999999975,global_optimum,1001110100111100011
VQE_reduced_surrogate_top50_revisit,74018,128,262144,25,13.59845704,100574,262144,199,78,13,198,0.000759124755859,0.00066075642577,0.000872124625566,0.314615791121,0.000297546386719,0.000238442241031,0.000371295599766,0.80275010183,4.95910644531e-05,2.89827794288e-05,8.48516838062e-05,4.81707122494,0.000755310058594,0.000657206177028,0.000868045591576,0.316172011028,1,11.70949999999975,global_optimum,1001110100111100011
