algorithm,seed,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,top50_hits,top10_hits,global_hits,gurobi_pool_feasible_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts99_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts99_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts99_sec,gurobi_pool_feasible_hit_rate,gurobi_pool_feasible_hit_rate_wilson95_low,gurobi_pool_feasible_hit_rate_wilson95_high,gurobi_pool_feasible_tts99_sec,best_top50_rank,best_top50_exact_repaired_qubo_energy,best_top50_match,best_top50_flow_bits
VQE_reduced_surrogate_top50_revisit,74018,128,524288,25,30.078369633,145295,524288,391,152,20,389,0.00074577331543,0.000675447894987,0.000823414754933,0.354144622315,0.000289916992188,0.000247350685191,0.000339805998316,0.911206712496,3.81469726562e-05,2.46955767249e-05,5.89247571309e-05,6.92569881839,0.000741958618164,0.000671822078537,0.000819411232753,0.355980460306,1,11.70949999999975,global_optimum,1001110100111100011
VQE_reduced_surrogate_top50_revisit,74007,128,524288,25,25.28987146,184229,524288,168,35,3,142,0.000320434570312,0.000275511143043,0.000372680249513,0.693159967194,6.67572021484e-05,4.80034224829e-05,9.2836951106e-05,3.32745726214,5.72204589844e-06,1.94601384369e-06,1.6824941648e-05,38.821299457,0.000270843505859,0.000229813550946,0.000319196439405,0.820070466407,1,11.70949999999975,global_optimum,1001110100111100011
VQE_reduced_surrogate_top50_revisit,74001,128,524288,25,25.613298383,163851,524288,115,36,5,70,0.000219345092773,0.000182755416088,0.000263258502744,1.02558130828,6.86645507812e-05,4.96012289549e-05,9.50538139496e-05,3.27640813704,9.53674316406e-06,4.07353330562e-06,2.23267608172e-05,23.5906173509,0.000133514404297,0.000105688230436,0.000168665569197,1.68495685812,1,11.70949999999975,global_optimum,1001110100111100011
