source_summary,algorithm,run_label,time_basis_column,time_basis_sec,event,hits,total_reads,hit_rate,hit_rate_wilson95_low,hit_rate_wilson95_high,tts95_sec
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74002;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.125016403,top50,8,32768,0.000244140625,0.000123717139704,0.000481725152747,0.795713844751
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74002;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.125016403,top10,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.36590530907
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74002;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.125016403,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74003;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.090294473,top50,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.13091256803
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74003;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.090294473,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74003;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.090294473,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74004;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.105764496,top50,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.30823242861
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74004;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.105764496,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74004;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.105764496,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74005;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.124852894,top50,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.36541548565
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74005;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.124852894,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74005;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.124852894,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74006;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.099358257,top50,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.1444886051
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74006;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.099358257,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74006;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.099358257,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74007;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.124122779,top50,9,32768,0.000274658203125,0.000144509480222,0.000521960814044,0.706960541619
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74007;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.124122779,top10,3,32768,9.1552734375e-05,3.11366690761e-05,0.000269165614305,2.12101127102
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74007;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.124122779,global,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.18158172962
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74008;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.101062403,top50,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.14704113164
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74008;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.101062403,top10,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.29414638262
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74008;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.101062403,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74009;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.122553228,top50,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.35852638306
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74009;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.122553228,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74009;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.122553228,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74010;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.168794207,top50,6,32768,0.00018310546875,8.39214948086e-05,0.000399464794015,1.08280863118
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74010;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.168794207,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74010;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.168794207,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74011;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.150092515,top50,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.4410257431
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74011;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.150092515,top10,0,32768,0,0,0.000117218277939,Inf
