algorithm,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE,73004,1,1,0.0001220703125,276.0757,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000100000000011,001010110011110001100000100000000011,62.33419999999979,213.7415000000001,7,,0010101100111100011,001010110011110001100001010001011010,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,364,1,0.0001220703125,704.0796999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000001000000110,010010110011100101100000001000000110,62.855199999999975,641.2244999999998,11,,0100101100111001011,010010110011100101101100110011011101,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,3,1,0.0001220703125,354.4648999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001101010000000,100111011001100000010001101010000000,97.97509999999973,256.4898000000002,6,,1001110110011000000,100111011001100000010011100000011100,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,21,1,0.0001220703125,475.83529999999973,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000110,000011010000000101101010101011000110,133.84889999999996,341.98639999999966,10,,0000110100000001011,000011010000000101110010011110101011,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,95,1,0.0001220703125,566.2937999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001100011100111,001011011000000001100001100011100111,138.8107999999999,427.48299999999983,12,,0010110110000000011,001011011000000001110110111001011100,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,2,1,0.0001220703125,311.9219999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001100000000111,001010110010000001100001100000000111,140.92879999999982,170.99319999999997,6,,0010101100100000011,001010110010000001100110010000000101,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,29,1,0.0001220703125,483.98079999999993,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101010000000,100111011001100100110000101010000000,141.9943999999998,341.9864,6,,1001110110011001001,100111011001100100100000001011100011,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,237,1,0.0001220703125,654.9739999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101010000000,100111011001100100010000101010000000,141.9943999999998,512.9796000000001,8,,1001110110011001000,100111011001100100010011001010111101,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,61,1,0.0001220703125,528.3005999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000101011000110,000001010100000101101000101011000110,143.56589999999994,384.73469999999963,7,,0000010101000001011,000001010100000101101110100011111100,128,8192,25,288,true,single,36,1.0e-10,64
VQE,73004,31,1,0.0001220703125,485.6747999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101010000110,000111010100000101100000101010000110,143.6883999999999,341.9863999999999,10,,0001110101000001011,000111010100000101110101000100100101,128,8192,25,288,true,single,36,1.0e-10,64
