algorithm,source_artifact,problem,mode,settings,seed,p,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,projected_pool_hits,encoded_pool_hits,encoded_global_hits,top50_hits,top10_hits,global_hits,gurobi_pool_feasible_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts99_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts99_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts99_sec,gurobi_pool_feasible_hit_rate,gurobi_pool_feasible_hit_rate_wilson95_low,gurobi_pool_feasible_hit_rate_wilson95_high,gurobi_pool_feasible_tts99_sec,best_raw_qubo_energy,best_raw_flow_bits,best_raw_projection_match,best_repaired_rank,best_repaired_qubo_energy,best_repaired_match,best_repaired_flow_bits,best_repaired_aux_bits,best_repaired_full_bits
QAOA_full_qubo_p2_perturbation,ds_mfg_p2_perturbation_sweep_v3/qaoa_p2_sigma0p050_trial1_seed42051_reads128_iter10_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,sigma=0.05;trial=1;initial_parameters=0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,42051,2,128,128,10,109.719425,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,391.72469999999976,1000010100000000101,not_in_gurobi_pool,,170.99319999999994,not_top50,1000110000000000001,11011101011000000,100011000000000000111011101011000000
QAOA_full_qubo_p2_perturbation,ds_mfg_p2_perturbation_sweep_v3/qaoa_p2_sigma0p100_trial1_seed42101_reads128_iter10_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,sigma=0.1;trial=1;initial_parameters=0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,42101,2,128,128,10,106.128487,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,274.6652999999998,1001110101010010011,not_in_gurobi_pool,,86.86949999999996,not_top50,1010110100000000011,00011100011100111,101011010000000001100011100011100111
QAOA_full_qubo_p2_perturbation,ds_mfg_p2_perturbation_sweep_v3/qaoa_p2_sigma0p200_trial1_seed42201_reads128_iter10_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,sigma=0.2;trial=1;initial_parameters=0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,42201,2,128,128,10,108.128227,128,128,0,0,0,0,0,0,0,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,0,0,0.0291369562735,Inf,611.4750999999998,1010100100111011011,not_in_gurobi_pool,,181.38809999999972,not_top50,1010110100111010001,10000000010101000,101011010011101000110000000010101000
QAOA_full_qubo_final_sampling,ds_mfg_final_sampling_sweep_v2/qaoa_p2_optimizer_reads128_final_reads512_iter25_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,separated_optimizer_and_final_sampling=true,,2,128,512,25,256.748912,512,512,3,0,0,5,1,0,3,0.009765625,0.00417830170674,0.0226544752716,235.687477813,0.001953125,0.000344857761543,0.0109792782124,1181.44616538,0,0,0.00744697572288,Inf,0.005859375,0.00199467579219,0.0170837806839,393.1467715,104.91250000000002,1100101110011100011,not_in_gurobi_pool,6,14.550499999999772,gurobi_pool,1001110110011100011,00000101010000011,100111011001110001100000101010000011
QAOA_direct_full_qubo_fixed_parameter_highread,ds_mfg_direct_full_qubo_qaoa_highread/qaoa_direct_p2_seed96001_reads32768_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,parameter_source=direct_p2;optimized_parameter_artifact=ds_mfg_direct_full_qubo_qaoa_highread/qaoa_direct_p2_seed96001_reads32768_optimized_parameters.json;parameter_order=beta_then_gamma,96001,2,32,32768,25,271.644372,32696,32768,99,0,0,136,27,4,99,0.004150390625,0.00351004299742,0.00490698352723,9.18524060596,0.000823974609375,0.000566371646173,0.00119860268075,46.315829662,0.0001220703125,4.74717522044e-05,0.000313858532991,312.729256876,0.00302124023438,0.00248244559428,0.00367654486325,12.6172709407,18.074499999999915,1001110101011100011,gurobi_pool,1,11.70949999999975,global_optimum,1001110100111100011,00000000000001011,100111010011110001100000000000001011
VQE_full_qubo_final_sampling,ds_mfg_vqe_final_sampling_sweep_v2/vqe_full_random_seed73001_optimizer_reads128_final_reads8192_iter25_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,ansatz=EfficientSU2;initial_parameter_count=288,73001,,128,8192,25,4.602074,8192,8192,0,0,0,0,0,0,0,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,313.92609999999974,0000110100111010010,not_in_gurobi_pool,,65.21679999999974,not_top50,0001110110010000101,00000101010000000,000111011001000010100000101010000000
VQE_full_qubo_final_sampling,ds_mfg_vqe_final_sampling_sweep_v2/vqe_full_random_seed73002_optimizer_reads128_final_reads8192_iter25_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,ansatz=EfficientSU2;initial_parameter_count=288,73002,,128,8192,25,2.722607,8192,8192,0,0,0,1,0,0,0,0.0001220703125,2.15487325923e-05,0.000691185749894,12.5375520591,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,258.59069999999997,1100110100001100011,not_in_gurobi_pool,49,57.86729999999981,not_in_gurobi_pool,0000010100111001011,01000000010001110,000001010011100101101000000010001110
VQE_full_qubo_final_sampling,ds_mfg_vqe_final_sampling_sweep_v2/vqe_full_random_seed73003_optimizer_reads128_final_reads8192_iter25_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,ansatz=EfficientSU2;initial_parameter_count=288,73003,,128,8192,25,3.016612,8192,8192,0,0,0,0,0,0,0,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,320.19009999999986,0000110001011100011,not_in_gurobi_pool,,109.9605999999997,not_top50,0000001100110000101,01000101000000000,000000110011000010101000101000000000
VQE_full_qubo_final_sampling,ds_mfg_vqe_final_sampling_sweep_v2/vqe_full_random_seed73004_optimizer_reads128_final_reads8192_iter25_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,ansatz=EfficientSU2;initial_parameter_count=288,73004,,128,8192,25,2.845248,8192,8192,0,0,0,0,0,0,0,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,0,0,0.000468708288221,Inf,276.0757,0010101100111100011,not_in_gurobi_pool,,62.33419999999979,not_top50,0010101100111100011,00000100000000011,001010110011110001100000100000000011
VQE_full_qubo_final_sampling,ds_mfg_vqe_final_sampling_sweep_v2/vqe_full_random_seed73005_optimizer_reads128_final_reads8192_iter25_distribution.csv,direct_original_36_variable_qubo,cached_local_aer_emulation,ansatz=EfficientSU2;initial_parameter_count=288,73005,,128,8192,25,2.799326,8192,8192,1,0,0,2,1,0,1,0.000244140625,6.6954718658e-05,0.000889805958094,6.44507906323,0.0001220703125,2.15487325923e-05,0.000691185749894,12.8908415557,0,0,0.000468708288221,Inf,0.0001220703125,2.15487325923e-05,0.000691185749894,12.8908415557,271.1413,1001110110011010011,gurobi_pool,9,14.651499999999885,gurobi_pool,1001110110011010011,00000101010000101,100111011001101001100000101010000101
