algorithm,seed,result,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits
VQE_reduced_surrogate_top50_revisit,74018,1,2,6.103515625e-5,-14.306956250002486,12,15.082499999999925,gurobi_pool,15.0825,1001110110011001011,00000101010000110,100111011001100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74018,2,1,3.0517578125e-5,-11.31495624998729,22,18.074499999999887,gurobi_pool,18.0745,1001110101011100011,00000101010000011,100111010101110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74018,3,1,3.0517578125e-5,-10.782956249990775,28,18.606499999999812,gurobi_pool,18.6065,1001110101011001011,00000101010000110,100111010101100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74018,4,1,3.0517578125e-5,-0.7104812499931086,21,17.991899999999916,gurobi_pool,17.9919,1010110101011100011,00000100011100011,101011010101110001100000100011100011
