angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],11,1,0.0078125,485.47319999999974,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001000110100000,110000100011010000000000001000000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],12,1,0.0078125,487.6331999999997,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001000100100111,110000100010010011100000000000000011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],13,1,0.0078125,487.72519999999975,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110110000001100,001011011000000110010000000011100000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],14,1,0.0078125,534.4735999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000001110100000101,100000111010000010100000010100000001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],15,1,0.0078125,605.5306999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001100110000100001,100110011000010000110010100110100000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],16,1,0.0078125,617.0930999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110000111100110,101011000011110011000010010001001011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],17,1,0.0078125,650.4368999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011001000100100001,101100100010010000110000010000000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],18,1,0.0078125,653.4043999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100001000100010000,010000100010001000000000001100000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],19,1,0.0078125,655.7672999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110001000111000001,111000100011100000110010001000000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],20,1,0.0078125,656.7428999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011110110010000001,001111011001000000111010000011100000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],21,1,0.0078125,663.7413999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100001010010010010,010000101001001001010000111101000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],22,1,0.0078125,699.4491999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011101000110010000,101110100011001000000010010001000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],23,1,0.0078125,699.7206999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010000010110000000,101000001011000000000110010010000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],24,1,0.0078125,700.6432999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010110110010001,100101011011001000110011000000011001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],25,1,0.0078125,706.4811999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011010110011000100,001101011001100010010000000010010000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],26,1,0.0078125,706.8331999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011010110111000100,101101011011100010010000000000101000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],27,1,0.0078125,735.6694999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101010010001001010,110101001000100101010000011010100011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],28,1,0.0078125,740.1374999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011100000110100000,001110000011010000010010010000000000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],29,1,0.0078125,742.5914999999995,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011010110110000000,101101011011000000010010000000011000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],30,1,0.0078125,744.1274999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011010100111100101,101101010011110010100000000011111000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,5,128,25,-1,0.8364,0.632;0.523;0.39;0.275;0.149;-0.36;-0.707;-0.823;-1.005;-1.154,β[0];β[1];β[2];β[3];β[4];γ[0];γ[1];γ[2];γ[3];γ[4],31,1,0.0078125,746.6034999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011010001011010001,001101000101101000100000010010110000,true,single,36,1.0e-10,64
