algorithm,seed,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73001,132,7,0.0008544921875,227.21019375000924,235.22550000000004,not_in_gurobi_pool,,0000110001011001010,01000101011000110,000011000101100101001000101011000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,1072,7,0.0008544921875,464.9713937499912,472.9866999999999,not_in_gurobi_pool,,1101010100000001010,00010001010100110,110101010000000101000010001010100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,184,4,0.00048828125,251.11839374998522,259.13369999999986,not_in_gurobi_pool,,1010010100000001010,00010100011100110,101001010000000101000010100011100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,680,4,0.00048828125,377.8293187500103,396.53169999999983,not_in_gurobi_pool,,0000100010000001010,01100101011000110,000010001000000101001100101011000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,1490,4,0.00048828125,534.2052687499915,531.5334999999998,not_in_gurobi_pool,,1010000011001001011,00100100011000110,101000001100100101100100100011000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,1638,4,0.00048828125,556.6309937499973,564.6463,not_in_gurobi_pool,,1101010100010001010,00010001010100110,110101010001000101000010001010100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,1560,4,0.00048828125,545.9739187499906,564.6762999999999,not_in_gurobi_pool,,1101010010000001010,00000001010100110,110101001000000101000000001010100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,1585,4,0.00048828125,549.2133187499992,567.9156999999998,not_in_gurobi_pool,,1110010100110001010,00000000010111110,111001010011000101000000000010111110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,3628,4,0.00048828125,867.5684187500076,843.5225,not_in_gurobi_pool,,1110000111011010110,00100000011100101,111000011101101011000100000011100101,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,4458,4,0.00048828125,999.2586687500032,996.5868999999996,not_in_gurobi_pool,,0000110010000111010,01000101011000000,000011001000011101001000101011000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,4758,4,0.00048828125,1055.0383687500084,1052.3665999999996,not_in_gurobi_pool,,1101010111011111010,00000001010100000,110101011101111101000000001010100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,5312,4,0.00048828125,1161.2102687499994,1158.5384999999997,not_in_gurobi_pool,,1101010100000111010,00010001010100000,110101010000011101000010001010100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,5673,4,0.00048828125,1234.3635687500052,1231.6917999999996,not_in_gurobi_pool,,1101010111111010110,00000000000101101,110101011111101011000000000000101101,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,5914,4,0.00048828125,1292.4661687500004,1289.7943999999998,not_in_gurobi_pool,,0011010100000111010,00010100010100000,001101010000011101000010100010100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,7547,4,0.00048828125,2163.683168749998,2161.0113999999985,not_in_gurobi_pool,,1101010011100111010,00000000000101000,110101001110011101000000000000101000,128,8192,25,152,true,single,36,1.0e-10,64
