algorithm,seed,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73005,5678,3,0.0003662109375,1150.3121187499905,1126.2661999999996,not_in_gurobi_pool,,1011100001100110001,10100000000000000,101110000110011000110100000000000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,5567,3,0.0003662109375,1124.1347937499925,1132.1500999999994,not_in_gurobi_pool,,1111110001110001000,10000000000111000,111111000111000100010000000000111000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,5897,3,0.0003662109375,1198.2333937499966,1206.2486999999996,not_in_gurobi_pool,,1111000110000110010,00100000010100001,111100011000011001000100000010100001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,6302,3,0.0003662109375,1291.1379937500044,1299.1532999999997,not_in_gurobi_pool,,1111000101101011011,00100000000100100,111100010110101101100100000000100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,6547,3,0.0003662109375,1357.2036187500044,1333.1576999999995,not_in_gurobi_pool,,1101101100000111000,10010101100000000,110110110000011100010010101100000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,6912,3,0.0003662109375,1478.4763687500024,1475.8045999999993,not_in_gurobi_pool,,1101011101101111010,00000001000101000,110101110110111101000000001000101000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,20,2,0.000244140625,136.52066874999286,133.84889999999996,not_in_gurobi_pool,,0000010100001001011,01010101011000110,000001010000100101101010101011000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,48,2,0.000244140625,185.71394374997703,172.35509999999994,not_in_gurobi_pool,,1100110000000000010,00011001011100111,110011000000000001000011001011100111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,111,2,0.000244140625,225.36926875000563,222.69749999999985,not_in_gurobi_pool,,0000010100101001010,01000000010001110,000001010010100101001000000010001110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,73,2,0.000244140625,207.52251875000138,226.22489999999968,not_in_gurobi_pool,,1011110101001001011,00000100010100110,101111010100100101100000100010100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,125,2,0.000244140625,232.27126875001431,229.59949999999984,not_in_gurobi_pool,,0000000000111101011,01100000010000010,000000000011110101101100000010000010,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,103,2,0.000244140625,223.6861937499998,231.70149999999992,not_in_gurobi_pool,,0000110010010001011,01000101011000110,000011001001000101101000101011000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,128,2,0.000244140625,234.9891937500072,243.00450000000004,not_in_gurobi_pool,,0000001101111100011,01000101000000011,000000110111110001101000101000000011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,234,2,0.000244140625,270.25146874997654,267.5796999999999,not_in_gurobi_pool,,1010110001000000010,00001100011100111,101011000100000001000001100011100111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,156,2,0.000244140625,251.70241875001398,270.4047999999999,not_in_gurobi_pool,,0000001100101001010,01000101000000110,000000110010100101001000101000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,147,2,0.000244140625,247.37384375001125,276.7632999999999,not_in_gurobi_pool,,0001110101010001000,10000101010000000,000111010101000100010000101010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,152,2,0.000244140625,250.05924374999472,279.4486999999999,not_in_gurobi_pool,,0010111110011001010,00000111010100110,001011111001100101000000111010100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,704,2,0.000244140625,381.8297937499958,347.0968,not_in_gurobi_pool,,1101101100001000000,10011101100000000,110110110000100000010011101100000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,536,2,0.000244140625,349.77006874999825,347.0982999999998,not_in_gurobi_pool,,0010000100001100010,00110100011000011,001000010000110001000110100011000011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,559,2,0.000244140625,353.0900687499927,350.4183,not_in_gurobi_pool,,1100001100001011011,00010101110000100,110000110000101101100010101110000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,618,2,0.000244140625,365.1412437500014,351.7823999999998,not_in_gurobi_pool,,0000010100101011010,01000000010001100,000001010010101101001000000010001100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,619,2,0.000244140625,365.21364374997825,351.85479999999984,not_in_gurobi_pool,,1101100001000000001,10101001010000000,110110000100000000110101001010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,459,2,0.000244140625,334.4344187499905,353.1368,not_in_gurobi_pool,,1011110101000001000,10000100010100000,101111010100000100010000100010100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,507,2,0.000244140625,345.62509375001036,353.6403999999999,not_in_gurobi_pool,,1000001100101101011,01000101000000010,100000110010110101101000101000000010,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,574,2,0.000244140625,356.928568750003,354.2567999999999,not_in_gurobi_pool,,1101100000111001010,00100000000000110,110110000011100101000100000000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,527,2,0.000244140625,348.5504937499993,356.56579999999997,not_in_gurobi_pool,,1101100010011100010,00100001010000011,110110001001110001000100001010000011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,537,2,0.000244140625,350.1320937499961,358.1473999999998,not_in_gurobi_pool,,0000000001001011011,01100101011000100,000000000100101101101100101011000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,603,2,0.000244140625,361.8711687499865,359.1993999999999,not_in_gurobi_pool,,1000000101010000010,01101101011000111,100000010101000001001101101011000111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,607,2,0.000244140625,362.92616875000544,360.2544,not_in_gurobi_pool,,0000110010011110010,01000101011000001,000011001001111001001000101011000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,610,2,0.000244140625,363.9100687500038,361.2382999999998,not_in_gurobi_pool,,1100100101011101010,00100001011000010,110010010101110101000100001011000010,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,613,2,0.000244140625,364.73956874999294,362.06779999999986,not_in_gurobi_pool,,1011001110011001011,00000111000000110,101100111001100101100000111000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,510,2,0.000244140625,346.3648187500105,365.0672000000004,not_in_gurobi_pool,,1110111101010010011,00000101010110101,111011110101001001100000101010110101,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,644,2,0.000244140625,368.0076687499934,365.3359,not_in_gurobi_pool,,0001001110011110011,00000111100000001,000100111001111001100000111100000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,789,2,0.000244140625,400.28439375000767,365.55139999999994,not_in_gurobi_pool,,0000110101111000010,01001000010001111,000011010111100001001001000010001111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,759,2,0.000244140625,396.0643187499986,372.0183999999999,not_in_gurobi_pool,,0000001111011000000,11001111110000000,000000111101100000011001111110000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,817,2,0.000244140625,404.57744374999334,391.21859999999987,not_in_gurobi_pool,,0010000100001011011,00110100011000100,001000010000101101100110100011000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,723,2,0.000244140625,386.5552937499965,394.5705999999998,not_in_gurobi_pool,,0010000100101011011,00100000010000100,001000010010101101100100000010000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,698,2,0.000244140625,380.2048187499879,398.9071999999999,not_in_gurobi_pool,,0001000001000000010,00101101010000111,000100000100000001000101101010000111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,590,2,0.000244140625,360.10166875000345,400.17819999999983,not_in_gurobi_pool,,0001000101000001010,00100101010000110,000100010100000101000100101010000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,800,2,0.000244140625,402.95596875001047,400.2841999999998,not_in_gurobi_pool,,0001000000111110010,00100000000000001,000100000011111001000100000000000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,826,2,0.000244140625,406.7808687500087,404.1091,not_in_gurobi_pool,,1101100001011101011,00100001010000010,110110000101110101100100001010000010,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,827,2,0.000244140625,406.78086875000895,404.1091,not_in_gurobi_pool,,1101100101011101011,00100001010000010,110110010101110101100100001010000010,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,838,2,0.000244140625,408.84096875000523,406.16919999999993,not_in_gurobi_pool,,0001000010111001011,00100000000000110,000100001011100101100100000000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,855,2,0.000244140625,412.2424687500038,409.5706999999999,not_in_gurobi_pool,,0000000001110001011,01100000010000110,000000000111000101101100000010000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,970,2,0.000244140625,435.11241875001406,411.0664999999999,not_in_gurobi_pool,,1110111101111100011,00000000000111011,111011110111110001100000000000111011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,761,2,0.000244140625,396.25781874999757,414.96019999999965,not_in_gurobi_pool,,0001101101111110011,00000101000000001,000110110111111001100000101000000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1024,2,0.000244140625,443.3556687500036,440.68389999999994,not_in_gurobi_pool,,1010100101001011010,00100100011000100,101010010100101101000100100011000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,811,2,0.000244140625,404.1559687500219,444.23249999999985,not_in_gurobi_pool,,0001000010010001000,10100101010000000,000100001001000100010100101010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1069,2,0.000244140625,450.7596687499945,448.0878999999999,not_in_gurobi_pool,,1010110001110000011,00001000010101111,101011000111000001100001000010101111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1120,2,0.000244140625,457.29976875000443,454.6279999999997,not_in_gurobi_pool,,0000110011010100011,01000101011000011,000011001101010001101000101011000011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1145,2,0.000244140625,460.78781874999413,479.49019999999996,not_in_gurobi_pool,,0100111000000001000,10010101110100000,010011100000000100010010101110100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1410,2,0.000244140625,498.9269437500011,485.56809999999996,not_in_gurobi_pool,,1110100010011110010,00100000011100001,111010001001111001000100000011100001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1179,2,0.000244140625,468.22631875000525,486.92870000000005,not_in_gurobi_pool,,1101111000111100011,00000001000101011,110111100011110001100000001000101011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1350,2,0.000244140625,491.174468750017,488.5027,not_in_gurobi_pool,,1101111101001011011,00000101100100100,110111110100101101100000101100100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1396,2,0.000244140625,497.73906875000876,495.0672999999998,not_in_gurobi_pool,,0000000001110001010,01100000010000110,000000000111000101001100000010000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1524,2,0.000244140625,516.9945437499994,503.63570000000016,not_in_gurobi_pool,,1101101101110100111,00000001000000011,110110110111010011100000001000000011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1464,2,0.000244140625,506.7730187500015,525.4754,not_in_gurobi_pool,,1110000000111110011,00100000010100001,111000000011111001100100000010100001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1553,2,0.000244140625,521.8226937499942,529.8379999999999,not_in_gurobi_pool,,1101100001001000101,00100001010000000,110110000100100010100100001010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1794,2,0.000244140625,558.7960187500141,534.7500999999997,not_in_gurobi_pool,,0001111010010000010,00001111100000111,000111101001000001000001111100000111,128,8192,25,152,true,single,36,1.0e-10,64
