algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA,1,32001,20,1,0.0078125,662.9733999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101111000010000,101010111100001000010000110001100101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,21,1,0.0078125,666.8209999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101011001111,100111010101100111101111001101001000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,22,1,0.0078125,693.2582999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010000001010111,100101000000101011100011001001010001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,23,1,0.0078125,702.0772999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110111000100010,100111011100010001000000010011101100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,24,1,0.0078125,708.0116999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111110111101011,110011111011110101110100001100111000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,25,1,0.0078125,708.9436999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100101010100110,110010010101010011000100010010000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,26,1,0.0078125,709.1781999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110101010010111,101111010101001011100001000101101010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,27,1,0.0078125,737.5769999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110110100001001,101011011010000100100001010011010100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,28,1,0.0078125,751.6590999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000111110110001001,000011111011000100101001101110000000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,29,1,0.0078125,782.5932999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010110010100001,110001011001010000100010100010110111,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,30,1,0.0078125,786.0952999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000100010011111,110000010001001111100110010110000100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,31,1,0.0078125,794.1752999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010111010001010,110001011101000101011100100001110101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,32,1,0.0078125,794.5522999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110001010010111,101011000101001011110111011001110100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,33,1,0.0078125,798.9688999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001111110010100111,000111111001010011110010011010101111,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,34,1,0.0078125,799.9711999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101101011001110,111010110101100111000001100000010010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,35,1,0.0078125,824.2484999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101100010010001,111010110001001000111111100100000100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,36,1,0.0078125,828.2035999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010100100101001111,001010010010100111100011010000000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,37,1,0.0078125,829.7205999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111100101010111,110011110010101011110010000101100110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,38,1,0.0078125,834.3675999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001001010001000,101000100101000100010000100110110101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,39,1,0.0078125,834.3975999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101111000001000,101010111100000100010100010100101100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,40,1,0.0078125,834.5410999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101101001011000010,110110100101100001000100110100101011,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,41,1,0.0078125,839.4745999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001110010110111,101000111001011011100010100100010101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,42,1,0.0078125,867.4809999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110100101010111,100011010010101011111110100111010101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
