algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA,1,15001,1,1,0.0078125,347.0678999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001001100000000001,100100110000000000100011111110000000,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,2,1,0.0078125,431.8558999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110100001000011,001011010000100001100110010101110111,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,3,1,0.0078125,523.5825,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010111100000001011,001011110000000101101011101010101000,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,4,1,0.0078125,561.6838999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000010000101001011,100001000010100101101010101000011000,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,5,1,0.0078125,567.7993999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001011100000000101,100101110000000010100010101001000010,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,6,1,0.0078125,609.0010999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110000010000010,010011000001000001000110001111111010,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,7,1,0.0078125,610.5285999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110101001010011,101111010100101001100011101100010000,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,8,1,0.0078125,610.9901,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001110001000011,110000111000100001100111001100001111,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,9,1,0.0078125,641.2643999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010000100000000000,101000010000000000010000001001100111,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,10,1,0.0078125,641.3868999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011000100000000000,101100010000000000010111101010011000,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,11,1,0.0078125,649.5354999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000001000100000000,100000100010000000000100010000100000,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
QAOA,1,15001,12,1,0.0078125,693.4161999999997,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101101100000000010,010110110000000001000010001101010110,128,3,1,4.89933001834;2.2044018228,true,single,36,1.0e-10,64
