algorithm,seed,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73001,128,512,25,152,27,1,0.001953125,323.7402687499962,321.0684999999998,not_in_gurobi_pool,,1101101101011010000,10000101100000000,110110110101101000010000101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,21,1,0.001953125,306.43461874998434,325.13699999999983,not_in_gurobi_pool,,0100010001010000100,00000001011100000,010001000101000010000000001011100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,34,1,0.001953125,352.132068749999,349.4602999999999,not_in_gurobi_pool,,1010100100011001001,10110100011000000,101010010001100100110110100011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,29,1,0.001953125,332.0810187499924,350.78339999999986,not_in_gurobi_pool,,1000000010000001010,01100101011000110,100000001000000101001100101011000110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,43,1,0.001953125,375.2242187499842,351.17829999999987,not_in_gurobi_pool,,0100000100010000000,10111001011000000,010000010001000000010111001011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,26,1,0.001953125,322.6514437500059,352.04089999999985,not_in_gurobi_pool,,0001010110001100000,10000101010000000,000101011000110000010000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,30,1,0.001953125,333.5669187499909,352.26929999999976,not_in_gurobi_pool,,1100000000110100001,10100000010000000,110000000011010000110100000010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,39,1,0.001953125,365.8700437499938,352.51120000000003,not_in_gurobi_pool,,1110110101000100001,10000000011110000,111011010100010000110000000011110000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,33,1,0.001953125,349.311993750008,357.3272999999997,not_in_gurobi_pool,,1010001000100000100,00000100000000000,101000100010000010000000100000000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,36,1,0.001953125,360.48706874999516,357.8152999999998,not_in_gurobi_pool,,1100000010011011010,00100001011000100,110000001001101101000100001011000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,37,1,0.001953125,360.73806875001287,358.0662999999997,not_in_gurobi_pool,,1010101100100100100,00000100000000000,101010110010010010000000100000000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,35,1,0.001953125,352.67009375000316,360.6853999999998,not_in_gurobi_pool,,0000100010011101011,01100101011000010,000010001001110101101100101011000010,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,38,1,0.001953125,363.3571687500055,360.6854,not_in_gurobi_pool,,0000010010011101010,01000101011000010,000001001001110101001000101011000010,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,32,1,0.001953125,342.8179187500068,361.52029999999974,not_in_gurobi_pool,,0100000000111000100,00100000010000000,010000000011100010000100000010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,46,1,0.001953125,387.0227187499913,362.97679999999997,not_in_gurobi_pool,,1101101001010000000,10001101100000000,110110100101000000010001101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,40,1,0.001953125,366.54906875001143,363.87729999999993,not_in_gurobi_pool,,0010101000010100101,00010111010000000,001010100001010010100010111010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,41,1,0.001953125,369.85906874997454,367.18730000000005,not_in_gurobi_pool,,0100001001010000011,00001101110000111,010000100101000001100001101110000111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,45,1,0.001953125,384.0646437499995,370.7057999999999,not_in_gurobi_pool,,1101101101010100101,00000101100000000,110110110101010010100000101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,42,1,0.001953125,373.75006874998917,371.07829999999996,not_in_gurobi_pool,,1100000111010000100,00100001011000000,110000011101000010000100001011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,44,1,0.001953125,381.50479374999895,389.52009999999973,not_in_gurobi_pool,,1011110100100001000,10000000000101000,101111010010000100010000000000101000,true,single,36,1.0e-10,64
