p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],12,1,0.0078125,610.8370999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100100011000110,101000000100000101000100100011000110,311.59899999999976,299.2381,7,,1010000001000001010,101000000100000101001010000001010100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],13,1,0.0078125,611.2220999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10101001011000000,010010000100000000010101001011000000,269.2356999999998,341.98639999999995,8,,0100100001000000000,010010000100000000001001011101010100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],14,1,0.0078125,615.2640999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111010000011,101000100100110001100000111010000011,316.0259999999998,299.2381,9,,1010001001001100011,101000100100110001101011100001000101,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],15,1,0.0078125,648.1963999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100100011000000,101000001000010000010100100011000000,348.9582999999998,299.2380999999999,5,,1010000010000100000,101000001000010000011001100000000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],16,1,0.0078125,652.9998999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000000000000,101110000010000110100100000000000000,524.7549999999998,128.24489999999992,1,,1011100000100001101,101110000010000110101100000000000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],17,1,0.0078125,658.5683999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001101110000000,110000111001000000110001101110000000,231.08539999999988,427.4829999999998,10,,1100001110010000001,110000111001000000101010000100100110,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],18,1,0.0078125,662.7373999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100001011000110,010010000101000101100100001011000110,278.00269999999983,384.7346999999999,7,,0100100001010001011,010010000101000101101111001000000101,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],19,1,0.0078125,697.9896999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100001011000000,010010000100000100110100001011000000,398.7515999999997,299.2380999999999,5,,0100100001000001001,010010000100000100110000100011001010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],20,1,0.0078125,699.6717999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01100101011000010,100000011001010101101100101011000010,485.9302999999999,213.74149999999997,5,,1000000110010101011,100000011001010101111000001001000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],21,1,0.0078125,704.9741999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001111000000000,101110110101000000110001111000000000,277.4911999999999,427.4829999999999,10,,1011101101010000001,101110110101000000100010010101101001,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],22,1,0.0078125,712.6816999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111010100000,101001110101001010100000111010100000,498.94019999999983,213.74149999999992,7,,1010011101010010101,101001110101001010111010100001100000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],23,1,0.0078125,728.0319999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10110100011000000,101010000000000100110110100011000000,257.8006999999998,470.2312999999999,7,,1010100000000001001,101010000000000100111010101000001100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],24,1,0.0078125,740.5104999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100100010000000,101110001001100100010100100010000000,398.5240999999997,341.98639999999995,10,,1011100010011001000,101110001001100100000000011001100101,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],25,1,0.0078125,740.5458999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101010100110,111010101000000101100000101010100110,355.81119999999976,384.7347000000001,7,,1110101010000001011,111010101000000101111000001000000000,true,single,36,1.0e-10,64
