p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.0078125,391.72469999999976,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01010101011000000,100001010000000010101010101011000000,177.98319999999978,213.74149999999997,7,,1000010100000000101,100001010000000010111100011010010000,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.0078125,394.7535999999997,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110001011000000,010000000000000010100110001011000000,181.0120999999998,213.74149999999997,7,,0100000000000000101,010000000000000010110011100111100000,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.0078125,427.4829999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11011101011000000,100011000000000000111011101011000000,170.99319999999977,256.48979999999995,8,,1000110000000000001,100011000000000000110001100110101010,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.0078125,435.83389999999986,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10001100000000000,101010110010100000110001100000000000,179.3440999999998,256.48980000000006,6,,1010101100101000001,101010110010100000111001111001011000,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.0078125,477.2501999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110001011000000,110000000000100010100110001011000000,306.25699999999983,170.99319999999994,4,,1100000000001000101,110000000000100010100110001001010011,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.0078125,491.78519999999986,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000100011100110,001011011100000101100000100011100110,363.5402999999997,128.24490000000003,5,,0010110111000001011,001011011100000101100000010111100000,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.0078125,493.2537999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101010000000,100111011100000010100000101010000000,322.2605999999997,170.9932,4,,1001110111000000101,100111011100000010101100001000000000,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.0078125,526.1625999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000101011000000,100011011000000010001000101011000000,269.67279999999977,256.4897999999999,8,,1000110110000000100,100011011000000010000000100110101110,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],9,1,0.0078125,528.4580999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100101010000101,100110011000001011100100101010000101,442.9614999999999,85.49659999999994,6,,1001100110000010111,100110011000001011100100010110000110,true,single,36,1.0e-10,64
2,0.05,1,42051,128,10,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],10,1,0.0078125,529.6865999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01100101011000000,100010010100000010101100101011000000,358.69339999999977,170.9932,6,,1000100101000000101,100010010100000010110110011010000000,true,single,36,1.0e-10,64
