p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],1,1,0.0078125,611.4750999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000010000100,101010010011101101100100000010000100,269.4886999999997,341.98640000000006,8,,1010100100111011011,101010010011101101111110100010011010,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],2,1,0.0078125,652.6003999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00010100011100101,001011000001001001000010100011100101,310.61399999999975,341.98640000000006,10,,0010110000010010010,001011000001001001011111000111011111,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],3,1,0.0078125,660.5883999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100100011000100,101010000101101101000100100011000100,361.3502999999997,299.23810000000003,7,,1010100001011011010,101010000101101101001111010111010100,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],4,1,0.0078125,708.3066999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110000000,110000101001100010000000101110000000,409.0685999999999,299.2381,9,,1100001010011000100,110000101001100010001011000101010100,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],5,1,0.0078125,735.9884999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100100010000001,101110011000111001000100100010000001,564.9952999999997,170.9931999999999,6,,1011100110001110010,101110011000111001000000010110100101,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],6,1,0.0078125,743.0794999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000100010100000,001111011001101000110000100010100000,401.0930999999997,341.9864,8,,0011110110011010001,001111011001101000110110111001100110,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],7,1,0.0078125,747.4079999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110000010,110000101001110101000000101110000010,448.16989999999976,299.2380999999999,7,,1100001010011101010,110000101001110101000100000101001000,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],8,1,0.0078125,783.9372999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100100011000011,101010011001010001100100100011000011,228.20939999999985,555.7279,11,,1010100110010100011,101010011001010001110101011111110100,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],9,1,0.0078125,824.2085999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10010101110000000,110000100001101000110010101110000000,353.9772999999998,470.2312999999999,7,,1100001000011010001,110000100001101000100010000000000011,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],10,1,0.0078125,825.5760999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000100010100000,101101001001101000010000100010100000,526.3379999999997,299.2380999999999,9,,1011010010011010000,101101001001101000010010011101101100,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],11,1,0.0078125,826.0070999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100100010000000,101110011001000100110100100010000000,484.02069999999975,341.98639999999995,8,,1011100110010001001,101110011001000100111100011101010000,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],12,1,0.0078125,840.9450999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101100100000,010111111001100110100000101100100000,584.4552999999999,256.48980000000006,4,,0101111110011001101,010111111001100110101000101101101100,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],13,1,0.0078125,873.9203999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000100010100001,101111000101111001000000100010100001,446.4373999999997,427.48300000000006,10,,1011110001011110010,101111000101111001010111100100011000,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],14,1,0.0078125,879.3098999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000000010101011,001001010111010001100000000010101011,409.07859999999965,470.23129999999986,9,,0010010101110100011,001001010111010001100011010100010010,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],15,1,0.0078125,908.1091999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000000010101000,101011010011101000110000000010101000,181.3880999999999,726.7210999999998,11,,1010110100111010001,101011010011101000101110001111000101,true,single,36,1.0e-10,64
2,0.2,1,42201,128,10,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],16,1,0.0078125,909.7351999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101110000000,110000101000101000110000101110000000,439.5038999999998,470.2312999999998,11,,1100001010001010001,110000101000101000101001001001101101,true,single,36,1.0e-10,64
