p,sigma,trial,seed,number_of_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,projected_global_reads,projected_pool_reads,encoded_global_reads,encoded_pool_reads,best_qubo_energy,best_projection_match,best_encoded_match,best_flow_bits,best_repaired_qubo_energy,best_repaired_match,best_repaired_flow_bits,initial_parameters,distribution_csv
2,0.05,1,42051,128,10,109.719425192,128,128,0,0,0,0,391.72469999999976,not_in_gurobi_pool,not_in_gurobi_pool,1000010100000000101,170.99319999999977,not_in_gurobi_pool,1000110000000000001,0.513542766581;0.270728396864;-0.541957561217;-0.888187146476,ds_mfg_p2_perturbation_sweep_v3/qaoa_p2_sigma0p050_trial1_seed42051_reads128_iter10_distribution.csv
2,0.1,1,42101,128,10,106.128486675,128,128,0,0,0,0,274.6652999999998,not_in_gurobi_pool,not_in_gurobi_pool,1001110101010010011,86.86949999999968,not_in_gurobi_pool,1010110100000000011,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,ds_mfg_p2_perturbation_sweep_v3/qaoa_p2_sigma0p100_trial1_seed42101_reads128_iter10_distribution.csv
2,0.2,1,42201,128,10,108.128227334,128,128,0,0,0,0,611.4750999999998,not_in_gurobi_pool,not_in_gurobi_pool,1010100100111011011,181.3880999999999,not_in_gurobi_pool,1010110100111010001,0.577335954624;0.330039745889;-0.051763488314;-1.01771563608,ds_mfg_p2_perturbation_sweep_v3/qaoa_p2_sigma0p200_trial1_seed42201_reads128_iter10_distribution.csv
