algorithm,angle_target,p,seed,optimizer_reads,final_reads,maximum_iterations,solve_time_sec,unique_states,total_reads,top50_hits,top10_hits,global_hits,gurobi_pool_feasible_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts99_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts99_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts99_sec,gurobi_pool_feasible_hit_rate,gurobi_pool_feasible_hit_rate_wilson95_low,gurobi_pool_feasible_hit_rate_wilson95_high,gurobi_pool_feasible_tts99_sec,best_top50_rank,best_top50_exact_repaired_qubo_energy,best_top50_match,best_top50_flow_bits,juliqaoa_top50_probability,juliqaoa_top10_probability,juliqaoa_global_probability
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,16,262144,0,56.366542054,26273,262144,62964,14221,979,55284,0.240188598633,0.238557076538,0.241827735169,0.00365536199538,0.0542488098145,0.0533882384833,0.0551224450323,0.0178467673892,0.00373458862305,0.00350824920157,0.00397547238051,0.264691212725,0.210891723633,0.209334342857,0.212457577471,0.00430042587692,1,11.70949999999975,global_optimum,1001110100111100011,0.23122699481130704,0.0522370454529187,0.003392140410350963
QAOA_reduced_surrogate_JuliQAOA_transfer,top10,5,92001,16,262144,0,53.895123869,26876,262144,62597,14326,1007,54820,0.238788604736,0.237160374498,0.240424490447,0.00349509088811,0.0546493530273,0.0537857651361,0.0555259930662,0.0168586736956,0.00384140014648,0.00361175792254,0.00408558357602,0.246095517239,0.209121704102,0.207569173251,0.210682759889,0.00411187163307,1,11.70949999999975,global_optimum,1001110100111100011,0.22967538871326482,0.05261172053991265,0.003456748192282216
