algorithm,angle_target,p,seed,result,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,22,1542,0.00588226318359375,0.6835187499918902,30,19.385899999999822,gurobi_pool,19.3859,1010110110010000101,00000100011100000,101011011001000010100000100011100000
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,23,1405,0.005359649658203125,4.196518749997267,34,22.898899999999855,gurobi_pool,22.8989,1100110101010000101,00000001011100000,110011010101000010100000001011100000
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,24,1405,0.005359649658203125,4.207518749994506,35,22.909899999999823,gurobi_pool,22.9099,1010110101010000101,00000100011100000,101011010101000010100000100011100000
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,25,1827,0.006969451904296875,8.559593749997475,13,16.574900000000014,gurobi_pool,16.5749,1100101100111100011,00000001000000011,110010110011110001100000001000000011
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,26,1820,0.0069427490234375,8.570593749997443,14,16.58589999999998,gurobi_pool,16.5859,1010101100111100011,00000100000000011,101010110011110001100000100000000011
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,27,1780,0.0067901611328125,8.660593749995769,16,16.6758999999999,gurobi_pool,16.6759,1100101100111010011,00000001000000101,110010110011101001100000001000000101
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,28,1799,0.006862640380859375,8.671593749996646,17,16.686899999999866,gurobi_pool,16.686899999999998,1010101100111010011,00000100000000101,101010110011101001100000100000000101
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,29,1754,0.00669097900390625,9.091593749997628,18,17.10689999999994,gurobi_pool,17.1069,1100101100111001011,00000001000000110,110010110011100101100000001000000110
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,30,1823,0.006954193115234375,9.102593749998505,19,17.117899999999906,gurobi_pool,17.1179,1010101100111001011,00000100000000110,101010110011100101100000100000000110
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,31,1766,0.00673675537109375,13.477593750000096,32,21.492899999999736,gurobi_pool,21.492900000000002,1100101100110000101,00000001000000000,110010110011000010100000001000000000
QAOA_reduced_surrogate_JuliQAOA_transfer,top50,5,92001,32,1844,0.0070343017578125,13.488593750003702,33,21.503899999999703,gurobi_pool,21.503899999999998,1010101100110000101,00000100000000000,101010110011000010100000100000000000
