algorithm,mode,fake_backend,repeat,transpile_seed,simulator_seed,flow_bits,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,repaired_aux_bits,repaired_full_bits
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0111101011100000000,1,0.000244140625,1825.512668749998,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000111011100000000,1,0.000244140625,1362.7771437499991,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010101111100000000,1,0.000244140625,807.0891437499995,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0000111111100000000,1,0.000244140625,981.0424437500067,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100100100010000000,1,0.000244140625,329.4759187499908,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010110100010000000,1,0.000244140625,190.55494374999012,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010101100010000000,1,0.000244140625,238.26224374999902,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100000010010000000,1,0.000244140625,239.48524374997896,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100100010010000000,1,0.000244140625,239.48524374999215,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1101010010010000000,1,0.000244140625,485.4104687499896,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0011001010010000000,1,0.000244140625,685.7478187500114,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1101101010010000000,1,0.000244140625,383.4987187500037,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100110110010000000,1,0.000244140625,100.55326874999264,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0100101110010000000,1,0.000244140625,194.0088687499972,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001101110010000000,1,0.000244140625,201.78954375001035,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100111110010000000,1,0.000244140625,223.0700937499946,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100000101010000000,1,0.000244140625,243.00924374997317,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001100101010000000,1,0.000244140625,253.78991875000042,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0101100101010000000,1,0.000244140625,502.6215437499998,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001010101010000000,1,0.000244140625,178.98039374998734,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000110101010000000,2,0.00048828125,200.23204374999068,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010101101010000000,1,0.000244140625,151.79556874999275,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0110000000110000000,1,0.000244140625,603.0446937499901,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0010101000110000000,1,0.000244140625,244.61424375001843,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100000100110000000,1,0.000244140625,225.95716874998993,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100100100110000000,1,0.000244140625,225.9571687500004,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001010100110000000,1,0.000244140625,204.67661875000158,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1111110100110000000,1,0.000244140625,696.3508687499966,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0100101100110000000,1,0.000244140625,159.10664375000556,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0100111100110000000,1,0.000244140625,276.664468750002,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1111111100110000000,1,0.000244140625,797.4935437499998,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0111010010110000000,1,0.000244140625,1485.7003437500002,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0110111110110000000,1,0.000244140625,667.6320687500063,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000100001110000000,1,0.000244140625,556.2575187499999,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010001101110000000,1,0.000244140625,347.51491874999374,,,,,,
