target,p,seed,basinhopping_niter,energy_shift,energy_scale,juliqaoa_expected_surrogate_energy,juliqaoa_expected_normalized_energy,top50_probability,top10_probability,global_probability,best_top50_rank_by_probability,best_top50_probability,best_top50_exact_repaired_qubo_energy,best_top50_flow_bits,most_probable_flow_bits,most_probable_probability,most_probable_surrogate_energy,surrogate_min_flow_bits,surrogate_min_probability,surrogate_min_energy,normalized_angles_beta_then_gamma,qiskit_angles_beta_then_gamma
global,1,91001,1,970.8520562499996,474.622688710029,759.085502569133,-0.4461787409624629,0.0022041819364697697,0.0005457130875649779,5.1268844329751946e-5,42,6.0192165658701176e-5,54.907199999999825,1010110100111001011,1001100100110111001,0.00046605201655554904,1297.6082687500002,1001110110011100011,5.318945132320395e-5,-14.838956249999,1.8742823065215763;3.6340191007011136,1.8742823065215763;0.0076566485065810231
global,2,91001,1,970.8520562499996,474.622688710029,1684.3856767557727,1.5033702296135285,4.394711534352709e-6,1.392688635556001e-6,7.316885454776095e-8,28,3.514538171547088e-7,18.606499999999812,1001110101011001011,0111011011110111001,0.001044970213377854,3287.967868750005,1001110110011100011,3.3924571846865523e-7,-14.838956249999,1.8735959651571779;1.876031644193545;3.6341206820833452;3.6341609113789599,1.8735959651571779;1.876031644193545;0.0076568625321315241;0.0076569472927141341
global,3,91001,1,970.8520562499996,474.622688710029,928.4954009671801,-0.08924279494079895,0.003936791098224448,0.0010251847647793182,9.831625827252306e-5,6,0.00023418503923122047,14.550499999999772,1001110110011100011,1001100110011100011,0.00023495122898254758,145.46716874999538,1001110110011100011,0.00023418503923122047,-14.838956249999,1.7218970061285241;2.070991711497459;2.0361102313720161;4.4486949756295067;2.9612909129033591;2.9766053596792488,1.7218970061285241;2.070991711497459;2.0361102313720161;0.0093731190721635296;0.0062392527440098032;0.0062715193152045193
