target,p,seed,basinhopping_niter,energy_shift,energy_scale,juliqaoa_expected_surrogate_energy,juliqaoa_expected_normalized_energy,top50_probability,top10_probability,global_probability,best_top50_rank_by_probability,best_top50_probability,best_top50_exact_repaired_qubo_energy,best_top50_flow_bits,most_probable_flow_bits,most_probable_probability,most_probable_surrogate_energy,surrogate_min_flow_bits,surrogate_min_probability,surrogate_min_energy,normalized_angles_beta_then_gamma,qiskit_angles_beta_then_gamma
energy,1,91001,5,970.8520562499996,474.622688710029,326.5078269271137,-1.3575925564665567,0.007214556344983493,0.001564209859735015,0.00014195955989690227,6,0.00017145891742360934,14.550499999999772,1001110110011100011,1001110110011100011,0.00017145891742360934,-14.838956249999,1001110110011100011,0.00017145891742360934,-14.838956249999,2.6902871794091006;1.7153954022106994,2.6902871794091006;0.0036142296670918761
energy,2,91001,5,970.8520562499996,474.622688710029,232.97360212377382,-1.5546632549987929,0.021129677889059027,0.00442041380316528,0.000346952067282077,31,0.000567361046068841,19.468499999999715,1001110110010000101,1001110100000000011,0.0008434624794757101,89.62386874999629,1001110110011100011,0.000529711339585396,-14.838956249999,2.6521152140667805;2.9233931662562118;1.2197077100803206;3.3949373112631855,2.6521152140667805;2.9233931662562118;0.0025698470365909999;0.0071529182907168693
energy,3,91001,5,970.8520562499996,474.622688710029,188.92980824575693,-1.647460744300698,0.04919869607643499,0.0098726635881801,0.0006616401656696117,32,0.0015467401924964784,21.492899999999736,1100101100110000101,0000110100000000011,0.003203324860260075,156.62381874998937,1001110110011100011,0.0012021882549070322,-14.838956249999,2.6021367150163512;2.8508511943620096;2.9866944903969683;1.1209582969941452;3.0564469715896605;6.9681877657146023,2.6021367150163512;2.8508511943620096;2.9866944903969683;0.0023617882660451474;0.0064397405440029401;0.014681531101375182
energy,4,91001,5,970.8520562499996,474.622688710029,152.31707256355187,-1.7246014637671605,0.11007038056664137,0.023335486093359788,0.0016029260869146298,13,0.00314206192136021,16.574900000000014,1100101100111100011,1001110100000000011,0.004475046389494476,89.62386874999629,1001110110011100011,0.0027870783910076643,-14.838956249999,2.6349315401019182;2.8257333854634403;2.9376325504984284;2.9920680649995459;1.0902348214190882;2.5950965120600524;5.530914146427139;7.8508227357391478,2.6349315401019182;2.8257333854634403;2.9376325504984284;2.9920680649995459;0.0022970558453120384;0.0054677042918307005;0.011653286448356568;0.016541187184027799
energy,5,91001,5,970.8520562499996,474.622688710029,129.75434564687998,-1.7721397029903814,0.15068229084189524,0.03402770663198957,0.0026325613174018516,4,0.0037464101071773186,14.456899999999834,1100110110011100011,1100110110011100011,0.0037464101071773186,-4.2454812499993295,1001110110011100011,0.0037421813235587143,-14.838956249999,2.3396297694190586;2.6348705139794379;2.8837299086002854;2.9486178335199571;3.0114913435086632;0.74175795718674475;1.7766444538782713;3.0555899276338727;4.7552119766767733;6.705710806531207,2.3396297694190586;2.6348705139794379;2.8837299086002854;2.9486178335199571;3.0114913435086632;0.0015628371226895183;0.0037432775468593605;0.0064379348065694494;0.010018931015710402;0.01412850874187362
