evidence_tier,row_status,label,backend_or_model,source_artifact,angle_target,p,total_reads,top50_hits,top50_hit_rate,top10_hits,top10_hit_rate,global_hits,global_hit_rate,gurobi_pool_feasible_hits,gurobi_pool_feasible_hit_rate,best_top50_rank,best_top50_exact_repaired_qubo_energy,best_top50_match,best_top50_flow_bits,notes
ideal_simulator,cached_result,Ideal Aer transferred-angle QAOA,Qiskit Aer MPS local simulator,ds_mfg_qaoa_juliqaoa_objective_transfer_highread/qaoa_juliqaoa_transfer_summary.csv,top10,5,262144,62597,0.238788604736,14326,0.0546493530273,1007,0.00384140014648,54820,0.209121704102,1,11.70949999999975,global_optimum,1001110100111100011,Top-10-targeted p=5 JuliQAOA angles transferred into QiskitOpt.QAOA with MaximumIterations() = 0.
model_based_noisy_simulator,cached_result,FakeFez/Aer noise-model simulation,FakeFez,ds_mfg_fake_fez_qaoa_noisy_4096x3/summary.csv,top10,5,36864,516,0.0139973958333,108,0.0029296875,12,0.000325520833333,447,0.0121256510417,1,11.70949999999975,global_optimum,1001110100111100011,Model-based fake-backend simulation; not a calibrated hardware predictor.
hardware,cached_result,IBM hardware pilot,ibm_fez,ds_mfg_ibm_qaoa_pilot_fez_4096x3/summary.csv,top10,5,36864,6,0.000162760416667,1,2.71267361111e-05,0,0,4,0.000108506944444,2,11.810499999999749,gurobi_pool,1001110100111010011,Fixed-parameter hardware pilot; descriptive feasibility evidence only.
