construction,training_flows,seed,fit_seconds,global_r2,optimum_repaired_energy,optimum_flow,reference_surrogate_rank,top50_max_absolute_error
full_uniform_walsh,524288,0,0.004918034,0.9990818774614909,14.550499999999772,1001110110011100011,33,29.389456249999945
uniform_subset_least_squares,1024,97101,0.040591231,0.9988571106207821,14.651499999999885,1001110110011010011,28,40.8620291208634
uniform_subset_least_squares,1024,97102,0.008353548,0.9988535165683935,14.651499999999885,1001110110011010011,34,35.89709907532378
uniform_subset_least_squares,1024,97103,0.008309973,0.998840721477304,18.175499999999772,1001110101011010011,32,43.649700828567134
uniform_subset_least_squares,8192,97101,0.161309284,0.9990663295233937,15.082499999999925,1001110110011001011,32,32.977573419778025
uniform_subset_least_squares,8192,97102,0.070399731,0.999061335909064,14.550499999999772,1001110110011100011,31,35.09151253552615
uniform_subset_least_squares,8192,97103,0.137575214,0.9990583607510322,14.550499999999772,1001110110011100011,33,33.83940804058619
uniform_subset_least_squares,65536,97101,0.911034326,0.9990796477639113,14.651499999999885,1001110110011010011,32,30.651261038788753
uniform_subset_least_squares,65536,97102,0.973770008,0.9990795674593587,14.651499999999885,1001110110011010011,33,30.442403266945053
uniform_subset_least_squares,65536,97103,0.96381419,0.9990792021873085,15.082499999999925,1001110110011001011,31,31.130050232526887
