penalty_multiplier,optimum,optimum_flow,optimum_feasible,feasible_in_top50,min_infeasible_minus_max_feasible
0.01,0.8838659999999995,1100110000000000000,false,0,-22.108633999999995
0.05,4.303729999999997,1100110000000000000,false,0,-18.688769999999987
0.1,8.578559999999994,1100110000000000000,false,0,-14.413939999999977
0.25,11.709499999999938,1001110100111100011,true,33,-1.5894499999999425
0.5,11.709499999999874,1001110100111100011,true,36,9.997550000000057
1.0,11.70949999999975,1001110100111100011,true,36,31.37170000000011
2.0,11.7094999999995,1001110100111100011,true,36,74.1200000000002
4.0,11.709499999998998,1001110100111100011,true,36,159.61660000000043
