algorithm,seed,sample_budget,flow_bits,visits,probability,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,repaired_aux_bits,repaired_full_bits,retained_reason
uniform_random_repaired_flow,81002,524288,1001110101011100011,1,1.9073486328125e-6,22,18.074499999999887,gurobi_pool,18.0745,00000101010000011,100111010101110001100000101010000011,top50
uniform_random_repaired_flow,81002,524288,1001110110010000101,2,3.814697265625e-6,31,19.468499999999715,gurobi_pool,19.4685,00000101010000000,100111011001000010100000101010000000,top50
uniform_random_repaired_flow,81002,524288,1001110110011001011,1,1.9073486328125e-6,12,15.082499999999925,gurobi_pool,15.0825,00000101010000110,100111011001100101100000101010000110,top50
uniform_random_repaired_flow,81002,524288,1001110110011010011,2,3.814697265625e-6,9,14.651499999999885,gurobi_pool,14.651499999999999,00000101010000101,100111011001101001100000101010000101,top50
uniform_random_repaired_flow,81002,524288,1001110110011100011,2,3.814697265625e-6,6,14.550499999999772,gurobi_pool,14.5505,00000101010000011,100111011001110001100000101010000011,top50
uniform_random_repaired_flow,81002,524288,1010101100111001011,1,1.9073486328125e-6,19,17.117899999999906,gurobi_pool,17.1179,00000100000000110,101010110011100101100000100000000110,top50
uniform_random_repaired_flow,81002,524288,1010110100111001011,1,1.9073486328125e-6,42,54.907199999999825,not_in_gurobi_pool,,00000000010101110,101011010011100101100000000010101110,top50
uniform_random_repaired_flow,81002,524288,1010110100111010011,1,1.9073486328125e-6,40,54.476199999999785,not_in_gurobi_pool,,00000000010101101,101011010011101001100000000010101101,top50
uniform_random_repaired_flow,81002,524288,1010110100111100011,2,3.814697265625e-6,38,54.375199999999786,not_in_gurobi_pool,,00000000010101011,101011010011110001100000000010101011,top50
uniform_random_repaired_flow,81002,524288,1010110101011001011,2,3.814697265625e-6,27,18.52389999999984,gurobi_pool,18.5239,00000100011100110,101011010101100101100000100011100110,top50
uniform_random_repaired_flow,81002,524288,1010110101011100011,2,3.814697265625e-6,21,17.991899999999916,gurobi_pool,17.9919,00000100011100011,101011010101110001100000100011100011,top50
uniform_random_repaired_flow,81002,524288,1010110110010000101,1,1.9073486328125e-6,30,19.385899999999822,gurobi_pool,19.3859,00000100011100000,101011011001000010100000100011100000,top50
uniform_random_repaired_flow,81002,524288,1010110110011001011,1,1.9073486328125e-6,11,14.999899999999954,gurobi_pool,14.9999,00000100011100110,101011011001100101100000100011100110,top50
uniform_random_repaired_flow,81002,524288,1010110110011010011,1,1.9073486328125e-6,8,14.568899999999914,gurobi_pool,14.5689,00000100011100101,101011011001101001100000100011100101,top50
uniform_random_repaired_flow,81002,524288,1010110110011100011,1,1.9073486328125e-6,5,14.467899999999801,gurobi_pool,14.4679,00000100011100011,101011011001110001100000100011100011,top50
uniform_random_repaired_flow,81002,524288,1100101100110000101,1,1.9073486328125e-6,32,21.492899999999736,gurobi_pool,21.492900000000002,00000001000000000,110010110011000010100000001000000000,top50
uniform_random_repaired_flow,81002,524288,1100101100111001011,1,1.9073486328125e-6,18,17.10689999999994,gurobi_pool,17.1069,00000001000000110,110010110011100101100000001000000110,top50
uniform_random_repaired_flow,81002,524288,1100101100111100011,1,1.9073486328125e-6,13,16.574900000000014,gurobi_pool,16.5749,00000001000000011,110010110011110001100000001000000011,top50
uniform_random_repaired_flow,81002,524288,1100110100111001011,1,1.9073486328125e-6,41,54.89619999999986,not_in_gurobi_pool,,00000000010101110,110011010011100101100000000010101110,top50
uniform_random_repaired_flow,81002,524288,1100110100111010011,1,1.9073486328125e-6,39,54.46519999999982,not_in_gurobi_pool,,00000000010101101,110011010011101001100000000010101101,top50
uniform_random_repaired_flow,81002,524288,1100110101010000101,1,1.9073486328125e-6,34,22.898899999999855,gurobi_pool,22.8989,00000001011100000,110011010101000010100000001011100000,top50
uniform_random_repaired_flow,81002,524288,1100110101011001011,1,1.9073486328125e-6,26,18.512899999999874,gurobi_pool,18.512900000000002,00000001011100110,110011010101100101100000001011100110,top50
uniform_random_repaired_flow,81002,524288,1100110101011010011,1,1.9073486328125e-6,23,18.081899999999834,gurobi_pool,18.0819,00000001011100101,110011010101101001100000001011100101,top50
uniform_random_repaired_flow,81002,524288,1100110101011100011,1,1.9073486328125e-6,20,17.98089999999995,gurobi_pool,17.980900000000002,00000001011100011,110011010101110001100000001011100011,top50
uniform_random_repaired_flow,81002,524288,1100110110010000101,1,1.9073486328125e-6,29,19.374899999999855,gurobi_pool,19.3749,00000001011100000,110011011001000010100000001011100000,top50
uniform_random_repaired_flow,81002,524288,1100110110011001011,2,3.814697265625e-6,10,14.988899999999987,gurobi_pool,14.9889,00000001011100110,110011011001100101100000001011100110,top50
uniform_random_repaired_flow,81002,524288,1100110110011010011,2,3.814697265625e-6,7,14.557899999999947,gurobi_pool,14.5579,00000001011100101,110011011001101001100000001011100101,top50
hill_climb_restarts_repaired_flow,82001,262144,0000010100111001011,6,2.288818359375e-5,49,57.86729999999981,not_in_gurobi_pool,,01000000010001110,000001010011100101101000000010001110,top50
hill_climb_restarts_repaired_flow,82001,262144,0000010100111010011,10,3.814697265625e-5,45,57.43629999999977,not_in_gurobi_pool,,01000000010001101,000001010011101001101000000010001101,top50
hill_climb_restarts_repaired_flow,82001,262144,0000010100111100011,27,0.000102996826171875,43,57.33529999999977,not_in_gurobi_pool,,01000000010001011,000001010011110001101000000010001011,top50
hill_climb_restarts_repaired_flow,82001,262144,0000110100111001011,9,3.4332275390625e-5,50,57.86729999999981,not_in_gurobi_pool,,01000000010001110,000011010011100101101000000010001110,top50
hill_climb_restarts_repaired_flow,82001,262144,0000110100111010011,14,5.340576171875e-5,46,57.43629999999977,not_in_gurobi_pool,,01000000010001101,000011010011101001101000000010001101,top50
hill_climb_restarts_repaired_flow,82001,262144,0000110100111100011,34,0.00012969970703125,44,57.33529999999977,not_in_gurobi_pool,,01000000010001011,000011010011110001101000000010001011,top50
