algorithm,seed,sample_budget,objective_evaluations,restart_count,wall_time_sec,unique_flows,total_samples,top50_hits,top10_hits,global_hits,gurobi_pool_feasible_hits,top50_hit_rate,top50_hit_rate_wilson95_low,top50_hit_rate_wilson95_high,top50_tts99_sec,top10_hit_rate,top10_hit_rate_wilson95_low,top10_hit_rate_wilson95_high,top10_tts99_sec,global_hit_rate,global_hit_rate_wilson95_low,global_hit_rate_wilson95_high,global_tts99_sec,gurobi_pool_feasible_hit_rate,gurobi_pool_feasible_hit_rate_wilson95_low,gurobi_pool_feasible_hit_rate_wilson95_high,gurobi_pool_feasible_tts99_sec,best_top50_rank,best_repaired_qubo_energy,best_match,best_flow_bits,best_repaired_aux_bits,best_repaired_full_bits,best_matched_ip_obj,settings
uniform_random_repaired_flow,81001,262144,262144,0,2.077276,206416,262144,24,5,0,21,9.1552734375e-05,6.15267776451e-05,0.000136229795639,0.398578283401,1.90734863281e-05,8.14707993287e-06,4.46531214484e-05,1.91322964474,0,0,1.46537877227e-05,Inf,8.01086425781e-05,5.23991348874e-05,0.000122469590201,0.45552143425,2,11.810499999999749,gurobi_pool,1001110100111010011,00000000000001101,100111010011101001100000000000001101,11.8105,independent_uniform_samples
uniform_random_repaired_flow,81002,524288,524288,0,3.497137,331221,524288,49,11,0,33,9.34600830078e-05,7.07007382957e-05,0.000123545005711,0.328657024887,2.09808349609e-05,1.17158076392e-05,3.75725023769e-05,1.46406859284,0,0,7.3269475451e-06,Inf,6.29425048828e-05,4.48210031324e-05,8.83900318254e-05,0.488016194021,3,12.241499999999789,gurobi_pool,1001110100111001011,00000000000001110,100111010011100101100000000000001110,12.2415,independent_uniform_samples
hill_climb_restarts_repaired_flow,82001,262144,262144,2055,0.934386,111893,262144,883,177,19,721,0.00336837768555,0.0031537403879,0.00359757005194,0.00486540561676,0.000675201416016,0.000582813269882,0.000782223561355,0.0243056416855,7.24792480469e-05,4.64031884538e-05,0.000113206971172,0.226467700562,0.00275039672852,0.0025570693287,0.00295829730859,0.00596324073029,1,11.70949999999975,global_optimum,1001110100111100011,00000000000001011,100111010011110001100000000000001011,11.7095,steepest_descent_restarts;max_steps_per_restart=128
