algorithm,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,18,1,0.015625,1137.1586999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110101101001111,001011010110100111100001100100010000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101110,001011010110100111100000000010101110,666.9273999999996,470.2312999999999,9,false,false,
QAOA,19,1,0.015625,1170.7569999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010100001101011010,101010000110101101001110000000111100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000100,101010000110101101000100000010000100,743.2739999999997,427.48299999999995,6,false,false,
QAOA,20,1,0.015625,1175.3879999999997,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100011110011010001,010001111001101000111111110010101011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000011110100000,010001111001101000110000011110100000,491.4151999999995,683.9728000000002,10,false,false,
QAOA,21,1,0.015625,1177.9089999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111101000101100,110011110100010110011000010010100000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110100000,110011110100010110000000101110100000,921.4191999999996,256.48980000000006,6,false,false,
QAOA,22,1,0.015625,1187.2349999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100001001010010110,010000100101001011011010010000100011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000011110000101,010000100101001011000000011110000101,631.5070999999996,555.7279000000001,9,false,false,
QAOA,23,1,0.015625,1217.0857999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110001110100000,101111000111010000011011100110101000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000000101000,101111000111010000010000000000101000,704.1061999999997,512.9795999999997,6,false,false,
QAOA,24,1,0.015625,1224.1742999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010111001010101010,001011100101010101010011010111110101,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010100010,001011100101010101000000111010100010,753.9429999999998,470.2312999999999,11,false,false,
QAOA,25,1,0.015625,1225.0232999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010101001111010000,001010100111101000010110011111010110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000100000000000,001010100111101000010000100000000000,498.3021999999997,726.7211000000002,11,false,false,
QAOA,26,1,0.015625,1225.9092999999996,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111110111001101,110011111011100110111111101001111011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000101000,110011111011100110100000001000101000,456.43989999999974,769.4693999999998,10,false,false,
QAOA,27,1,0.015625,1253.5375999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000001100100001,110000000110010000101000100110110100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100000010000000,110000000110010000110100000010000000,655.0613999999997,598.4761999999997,8,false,false,
