angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],11,1,0.0078125,570.2018999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000111100111000001,100011110011100000101000010101100010,true,single,36,1.0e-10,64,not_in_gurobi_pool,11001101000001000,100011110011100000111001101000001000,313.7120999999996,256.48980000000006,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],12,1,0.0078125,571.1127999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100000110011000000,010000011001100000010000010110100101,true,single,36,1.0e-10,64,not_in_gurobi_pool,10101001011000000,010000011001100000010101001011000000,271.8746999999998,299.2381,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],13,1,0.0078125,572.2328999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110100111000100,100011010011100010010100000010100101,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000000001001000,100011010011100010001000000001001000,272.99479999999977,299.2381,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],14,1,0.0078125,573.2307999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101000100010111,110010100010001011100100001110011101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000101,110010100010001011100000001000000101,359.48929999999984,213.74149999999986,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],15,1,0.0078125,580.9018,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101110010010100,110010111001001010000000011111010011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101101000000,110010111001001010000000101101000000,324.4119999999997,256.4898000000003,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],16,1,0.0078125,610.0920999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100100111100010,110010010011110001011010000100010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000011,110010010011110001000100000010000011,225.35739999999987,384.73469999999986,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],17,1,0.0078125,619.1330999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010010010010001101,101001001001000110100110101010011010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100011100000,101001001001000110100000100011100000,362.6432999999998,256.4898,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],18,1,0.0078125,619.5881999999997,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000111100011000101,000011110001100010111000100101011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,01010111101000000,000011110001100010101010111101000000,363.09839999999963,256.48980000000006,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],19,1,0.0078125,621.2440999999999,3.410605131648481e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101110111100011,110010111011110001110000110001011110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000011,110010111011110001100000001000000011,151.01280000000008,470.2312999999998,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],20,1,0.0078125,622.8210999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101010010000100,101010101001000010001110011001001101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000000,101010101001000010000000111010000000,238.0863999999998,384.7347000000001,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],21,1,0.0078125,622.8210999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101110011000100,101010111001100010000011011100100111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000000,101010111001100010000000111010000000,238.08639999999986,384.73470000000003,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],22,1,0.0078125,622.9036999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101010010000101,100110101001000010101000010101011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000000,100110101001000010100000111100000000,195.42069999999984,427.483,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],23,1,0.0078125,655.8303999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001000011011010,101000100001101101001100100110000000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010110101000100,101000100001101101000010110101000100,442.0888999999996,213.7415000000002,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],24,1,0.0078125,661.3493999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010000010011100100,101000001001110010001110010101010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100100011000000,101000001001110010000100100011000000,404.8595999999998,256.48979999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],25,1,0.0078125,665.5583999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111010010000100,110011101001000010010001100111100110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110100000,110011101001000010000000101110100000,409.06859999999966,256.4898000000001,6,false,false,
