algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,22001,1,1,0.0078125,476.4231999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000100011000000,110000010001100000011111100111100010,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,10111001011000000,110000010001100000010111001011000000,305.4299999999997,170.9932,6,false,false,
QAOA,1,22001,2,1,0.0078125,603.6890999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110100000010011,001011010000001001101110000000000010,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010010011010101,001011010000001001100010010011010101,133.45779999999985,470.2313,9,false,false,
QAOA,1,22001,3,1,0.0078125,616.8170999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010110110001010,110001011011000101001001000000100110,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000001101110,110001011011000101000000000001101110,445.82389999999975,170.9931999999999,4,false,false,
QAOA,1,22001,4,1,0.0078125,619.2156999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001100010010001101,100110001001000110101100000101000011,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100101010000000,100110001001000110100100101010000000,362.7258999999998,256.48979999999995,8,false,false,
QAOA,1,22001,5,1,0.0078125,667.9754999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000111101011110011,000011110101111001110010011101101100,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000111110000001,000011110101111001101000111110000001,325.98909999999967,341.9864,10,false,false,
QAOA,1,22001,6,1,0.0078125,701.7776999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000100110001100,110000010011000110011110000101100110,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000000,110000010011000110000100000010000000,402.5395999999997,299.2380999999999,9,false,false,
QAOA,1,22001,7,1,0.0078125,701.9176999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101000100001111,101010100010000111101101100010100010,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100000000110,101010100010000111100000100000000110,359.93129999999985,341.9863999999999,6,false,false,
QAOA,1,22001,8,1,0.0078125,729.6330999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000010000001110011,100001000000111001110101101010100011,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,01010101011000001,100001000000111001101010101011000001,302.1500999999997,427.48300000000006,8,false,false,
QAOA,1,22001,9,1,0.0078125,737.2254999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110100100000100,101111010010000010010111010000000110,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000101000,101111010010000010000000000000101000,352.4907999999997,384.7347,9,false,false,
QAOA,1,22001,10,1,0.0078125,744.1628999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101100100100111,111010110010010011101000010001001001,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000100011,111010110010010011100000000000100011,402.17650000000003,341.9863999999998,6,false,false,
QAOA,1,22001,11,1,0.0078125,752.4600999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000001010110100010,000000101011010001001000010101010011,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000101000000011,000000101011010001001000101000000011,581.4668999999997,170.9932,6,false,false,
QAOA,1,22001,12,1,0.0078125,752.7909999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110110111101111,110011011011110111101100000000101011,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101010,110011011011110111100000000010101010,581.7977999999999,170.99319999999955,4,false,false,
QAOA,1,22001,13,1,0.0078125,773.6002999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010000100100100001,101000010010010000101111110001100001,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100000010000000,101000010010010000110100000010000000,346.1172999999998,427.48299999999983,10,false,false,
QAOA,1,22001,14,1,0.0078125,779.3052999999995,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110000101011011,001011000010101101100001100100101110,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000001101100,001011000010101101100000000001101100,394.5705999999998,384.73469999999975,5,false,false,
QAOA,1,22001,15,1,0.0078125,786.7422999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010000110100100,110001000011010010010010010101010000,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101000,110001000011010010000000000010101000,487.50419999999974,299.2380999999999,9,false,false,
QAOA,1,22001,16,1,0.0078125,792.1742999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110101111011011,110011010111101101111001011010100110,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000001101100,110011010111101101100000000001101100,321.94299999999976,470.2312999999999,9,false,false,
QAOA,1,22001,17,1,0.0078125,800.7633999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000000001111100111,000000000111110011101000100010101111,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,01100000010000011,000000000111110011101100000010000011,501.5252999999997,299.2380999999999,5,false,false,
QAOA,1,22001,18,1,0.0078125,815.1585999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000000001110010,110000000000111001001101001001101011,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00110001011000001,110000000000111001000110001011000001,344.9272999999997,470.2312999999999,7,false,false,
QAOA,1,22001,19,1,0.0078125,829.1065999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101001001010011,101010100100101001111111001010001011,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000101,101010100100101001100000111010000101,230.6303999999999,598.4762,10,false,false,
QAOA,1,22001,20,1,0.0078125,836.0911999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101101010110010,100110110101011001001000111001010100,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000001,100110110101011001000000111100000001,494.1047999999997,341.9864000000001,6,false,false,
QAOA,1,22001,21,1,0.0078125,836.3295999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110111011101001,110011011101110100110110000001000000,128,10,1,0.178854343596;4.45599511068,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000001011100000,110011011101110100110000001011100000,537.0914999999998,299.2380999999998,5,false,false,
