angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],11,1,0.0078125,497.3422999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000101110111011011,000010111011101101100000001000000000,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000101000000100,000010111011101101101000101000000100,369.09739999999977,128.24490000000003,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],12,1,0.0078125,527.4845,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101100011101011,101010110001110101100011010100000011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010111010000010,101010110001110101100010111010000010,270.99469999999974,256.4898000000003,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],13,1,0.0078125,532.6854999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101110101010011,010010111010101001100100000100010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000101,010010111010101001100000001000000101,361.6922999999998,170.9931999999999,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],14,1,0.0078125,541.5723999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110101101110000011,011010110111000001100000000000100111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001000000010111,011010110111000001100001000000010111,498.8240999999997,42.748300000000086,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],15,1,0.0078125,543.7053999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110101110110000101,011010111011000010110000010000011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000100000,011010111011000010100000000000100000,415.4604999999997,128.24490000000014,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],16,1,0.0078125,564.1153999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001100110001100011,100110011000110001100000101001001100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100010101000011,100110011000110001100100010101000011,264.8772999999998,299.2381,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],17,1,0.0078125,564.9607999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010100110000000001,001010011000000000110000100000100000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10101100011000000,001010011000000000110101100011000000,265.7226999999998,299.2380999999999,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],18,1,0.0078125,566.3226999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110110000000011,011011011000000001100000000110101111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001000011110111,011011011000000001100001000011110111,352.58119999999974,213.74149999999986,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],19,1,0.0078125,567.9952999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011110110001110011,001111011000111001100000011001010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100010100001,001111011000111001100000100010100001,482.49869999999964,85.49660000000017,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],20,1,0.0078125,572.9432999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101101110001110011,010110111000111001100000010100000001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100000001,010110111000111001100000101100000001,530.1949999999996,42.7483000000002,3,false,false,
