algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,17001,1,1,0.0078125,440.5429999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110101001101011,100011010100110101101000111001010010,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000011011000010,100011010100110101101000011011000010,312.29809999999964,128.24490000000026,3,false,false,
QAOA,1,17001,2,1,0.0078125,485.5811999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100100101000001011,010010010100000101111101001010010110,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000111000110,010010010100000101100100000111000110,271.83969999999977,213.74150000000003,7,false,false,
QAOA,1,17001,3,1,0.0078125,525.4230999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010101000001010,100101010100000101011101101101010110,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000110,100101010100000101000000101010000110,268.9332999999998,256.48979999999995,8,false,false,
QAOA,1,17001,4,1,0.0078125,525.4230999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010101000001011,100101010100000101110110010111010001,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000110,100101010100000101100000101010000110,183.43669999999986,341.9864,12,false,false,
QAOA,1,17001,5,1,0.0078125,536.7184999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110001010010101,110011000101001010100100100110110101,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001011100000,110011000101001010100000001011100000,280.2286999999998,256.48979999999995,8,false,false,
QAOA,1,17001,6,1,0.0078125,567.6792999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011100001001100011,101110000100110001110100010101100110,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100010001000011,101110000100110001100100010001000011,353.93779999999975,213.74150000000003,5,false,false,
QAOA,1,17001,7,1,0.0078125,574.3343999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010101010001010,100101010101000101000010110100101101,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000011010000110,100101010101000101000000011010000110,275.0962999999998,299.23810000000003,9,false,false,
QAOA,1,17001,8,1,0.0078125,577.3343999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001110001010001010,000111000101000101001000110110011000,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000110,000111000101000101000000101010000110,320.8445999999998,256.48979999999995,8,false,false,
QAOA,1,17001,9,1,0.0078125,604.4720999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110000101001010,101011000010100101010011100010111101,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010011110,101011000010100101000000000010011110,305.23399999999987,299.23809999999975,7,false,false,
QAOA,1,17001,11,1,0.0078125,617.0826999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010001011001010,100101000101100101001000000010110010,128,5,1,1.55944101132;4.03967585672,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000110,100101000101100101000000101010000110,275.0962999999998,341.9864,6,false,false,
