angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],11,1,0.0078125,606.8735999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110100010100011,101111010001010001100011111110101011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010100010100011,101111010001010001100010100010100011,307.63549999999987,299.2380999999998,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],12,1,0.0078125,613.9600999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101000011000011,010010100001100001111011001101001100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101110000111,010010100001100001100011101110000111,271.9736999999999,341.9863999999999,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],13,1,0.0078125,624.4160999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101101010100011,010010110101010001100111110011100011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000011110000011,010010110101010001100000011110000011,196.93309999999974,427.48299999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],14,1,0.0078125,650.2744999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000011100101100001,100001110010110000101000010100011010,true,single,36,1.0e-10,64,not_in_gurobi_pool,11000101000001000,100001110010110000111000101000001000,522.0295999999996,128.24489999999992,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],15,1,0.0078125,706.9941999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101100101011000100,110110010101100010010101011011000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100001010000000,110110010101100010000100001010000000,450.50439999999975,256.4897999999999,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],16,1,0.0078125,708.8926999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110101011101101,101011010101110110101010010111010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100011100000,101011010101110110100000100011100000,537.8994999999998,170.9932,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],17,1,0.0078125,735.1258999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110110100011010011,111011010001101001111111101011010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010000011110101,111011010001101001100010000011110101,222.14629999999977,512.9796,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],18,1,0.0078125,736.4875999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001011100100000011,100101110010000001110001010000111110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101000001111,100101110010000001100001101000001111,437.24949999999967,299.2380999999999,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],19,1,0.0078125,738.4438999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101100100101011,111010110010010101111000010001010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000100010,111010110010010101100000000000100010,439.2057999999997,299.23810000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],21,1,0.0078125,744.7418999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110110101010100011,111011010101010001101010100100100001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000011110011,111011010101010001100000000011110011,231.76229999999975,512.9795999999999,8,false,false,
