algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,32001,14,1,0.0078125,613.4650999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010111100000000100,001011110000000010010010011010001101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010111010100000,001011110000000010000010111010100000,356.97529999999983,256.48979999999983,6,false,false,
QAOA,1,32001,15,1,0.0078125,618.7430999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101010011110011,101010101001111001110011110001100000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000001,101010101001111001100000111010000001,276.7566999999997,341.98640000000023,8,false,false,
QAOA,1,32001,16,1,0.0078125,620.7871999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000000001001001111,000000000100100111101010001011000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,01100011011000110,000000000100100111101100011011000110,492.5422999999997,128.24490000000003,3,false,false,
QAOA,1,32001,17,1,0.0078125,623.1551999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000001101011010001,000000110101101000100000111011000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,11000111110000000,000000110101101000111000111110000000,281.16879999999975,341.9864000000002,6,false,false,
QAOA,1,32001,18,1,0.0078125,652.9599999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001000000100001101,100100000010000110110100010110001010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000000,100100000010000110100100000000000000,396.47019999999975,256.48979999999995,6,false,false,
QAOA,1,32001,19,1,0.0078125,656.7029999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110110001010111,100111011000101011101100011000001010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000101,100111011000101011100000101010000101,357.46489999999983,299.2380999999999,9,false,false,
QAOA,1,32001,20,1,0.0078125,662.9733999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101111000010000,101010111100001000010000110001100101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000111010000000,101010111100001000010000111010000000,491.98019999999985,170.9931999999999,6,false,false,
QAOA,1,32001,21,1,0.0078125,666.8209999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110101011001111,100111010101100111101111001101001000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000110,100111010101100111100000101010000110,196.5897,470.2312999999999,11,false,false,
QAOA,1,32001,22,1,0.0078125,693.2582999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001010000001010111,100101000000101011100011001001010001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010011001000101,100101000000101011100010011001000101,436.76849999999973,256.4898,4,false,false,
QAOA,1,32001,23,1,0.0078125,702.0772999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110111000100010,100111011100010001000000010011101100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100110000011,100111011100010001000000100110000011,402.8391999999996,299.2381000000001,9,false,false,
QAOA,1,32001,24,1,0.0078125,708.0116999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111110111101011,110011111011110101110100001100111000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000100011010,110011111011110101100000000100011010,408.77359999999965,299.23810000000014,5,false,false,
QAOA,1,32001,25,1,0.0078125,708.9436999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100101010100110,110010010101010011000100010010000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100001011000011,110010010101010011000100001011000011,495.2021999999998,213.74149999999992,5,false,false,
