algorithm,seed,result,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits
VQE_reduced_surrogate_top50_revisit,74001,1,1,3.0517578125e-5,-11.31495624998729,22,18.074499999999887,gurobi_pool,18.0745,1001110101011100011,00000101010000011,100111010101110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74001,2,1,3.0517578125e-5,14.381268750008303,1,11.70949999999975,global_optimum,11.7095,1001110100111100011,00000000000001011,100111010011110001100000000000001011
VQE_reduced_surrogate_top50_revisit,74001,3,1,3.0517578125e-5,14.48226875000114,2,11.810499999999749,gurobi_pool,11.8105,1001110100111010011,00000000000001101,100111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74001,4,1,3.0517578125e-5,25.51774374999991,42,54.907199999999825,not_in_gurobi_pool,,1010110100111001011,00000000010101110,101011010011100101100000000010101110
VQE_reduced_surrogate_top50_revisit,74001,8,1,3.0517578125e-5,60.23056874999952,48,57.55879999999977,not_in_gurobi_pool,,0001110100111010011,00000000000001101,000111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74002,1,1,3.0517578125e-5,-4.234481250005729,5,14.467899999999801,gurobi_pool,14.4679,1010110110011100011,00000100011100011,101011011001110001100000100011100011
VQE_reduced_surrogate_top50_revisit,74002,2,2,6.103515625e-5,8.570593749997443,14,16.58589999999998,gurobi_pool,16.5859,1010101100111100011,00000100000000011,101010110011110001100000100000000011
VQE_reduced_surrogate_top50_revisit,74002,3,1,3.0517578125e-5,13.488593750003702,33,21.503899999999703,gurobi_pool,21.503899999999998,1010101100110000101,00000100000000000,101010110011000010100000100000000000
VQE_reduced_surrogate_top50_revisit,74002,15,2,6.103515625e-5,60.0070687500081,43,57.33529999999977,not_in_gurobi_pool,,0000010100111100011,01000000010001011,000001010011110001101000000010001011
VQE_reduced_surrogate_top50_revisit,74002,16,1,3.0517578125e-5,60.53906875000507,50,57.86729999999981,not_in_gurobi_pool,,0000110100111001011,01000000010001110,000011010011100101101000000010001110
VQE_reduced_surrogate_top50_revisit,74002,17,1,3.0517578125e-5,60.53906875000462,49,57.86729999999981,not_in_gurobi_pool,,0000010100111001011,01000000010001110,000001010011100101101000000010001110
VQE_reduced_surrogate_top50_revisit,74003,1,1,3.0517578125e-5,-0.6094812499948148,24,18.0928999999998,gurobi_pool,18.0929,1010110101011010011,00000100011100101,101011010101101001100000100011100101
VQE_reduced_surrogate_top50_revisit,74003,2,1,3.0517578125e-5,13.477593750000096,32,21.492899999999736,gurobi_pool,21.492900000000002,1100101100110000101,00000001000000000,110010110011000010100000001000000000
VQE_reduced_surrogate_top50_revisit,74004,1,1,3.0517578125e-5,24.974743750008884,37,54.36419999999982,not_in_gurobi_pool,,1100110100111100011,00000000010101011,110011010011110001100000000010101011
VQE_reduced_surrogate_top50_revisit,74005,1,1,3.0517578125e-5,25.08674374999896,40,54.476199999999785,not_in_gurobi_pool,,1010110100111010011,00000000010101101,101011010011101001100000000010101101
VQE_reduced_surrogate_top50_revisit,74006,1,1,3.0517578125e-5,-0.7214812499867094,20,17.98089999999995,gurobi_pool,17.980900000000002,1100110101011100011,00000001011100011,110011010101110001100000001011100011
VQE_reduced_surrogate_top50_revisit,74006,2,1,3.0517578125e-5,-0.18948124998928506,26,18.512899999999874,gurobi_pool,18.512900000000002,1100110101011001011,00000001011100110,110011010101100101100000001011100110
VQE_reduced_surrogate_top50_revisit,74007,1,1,3.0517578125e-5,-10.782956249990775,28,18.606499999999812,gurobi_pool,18.6065,1001110101011001011,00000101010000110,100111010101100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74007,2,1,3.0517578125e-5,-9.920956250002291,31,19.468499999999715,gurobi_pool,19.4685,1001110110010000101,00000101010000000,100111011001000010100000101010000000
VQE_reduced_surrogate_top50_revisit,74007,3,1,3.0517578125e-5,-4.1334812500047065,8,14.568899999999914,gurobi_pool,14.5689,1010110110011010011,00000100011100101,101011011001101001100000100011100101
VQE_reduced_surrogate_top50_revisit,74007,4,1,3.0517578125e-5,4.207518749994506,35,22.909899999999823,gurobi_pool,22.9099,1010110101010000101,00000100011100000,101011010101000010100000100011100000
VQE_reduced_surrogate_top50_revisit,74007,5,1,3.0517578125e-5,9.091593749997628,18,17.10689999999994,gurobi_pool,17.1069,1100101100111001011,00000001000000110,110010110011100101100000001000000110
VQE_reduced_surrogate_top50_revisit,74007,6,2,6.103515625e-5,14.381268750008303,1,11.70949999999975,global_optimum,11.7095,1001110100111100011,00000000000001011,100111010011110001100000000000001011
VQE_reduced_surrogate_top50_revisit,74007,7,1,3.0517578125e-5,25.5067437500054,41,54.89619999999986,not_in_gurobi_pool,,1100110100111001011,00000000010101110,110011010011100101100000000010101110
VQE_reduced_surrogate_top50_revisit,74007,14,1,3.0517578125e-5,60.53906875000462,49,57.86729999999981,not_in_gurobi_pool,,0000010100111001011,01000000010001110,000001010011100101101000000010001110
VQE_reduced_surrogate_top50_revisit,74008,1,1,3.0517578125e-5,-4.234481250005729,5,14.467899999999801,gurobi_pool,14.4679,1010110110011100011,00000100011100011,101011011001110001100000100011100011
VQE_reduced_surrogate_top50_revisit,74008,2,1,3.0517578125e-5,4.207518749994506,35,22.909899999999823,gurobi_pool,22.9099,1010110101010000101,00000100011100000,101011010101000010100000100011100000
VQE_reduced_surrogate_top50_revisit,74009,1,1,3.0517578125e-5,13.477593750000096,32,21.492899999999736,gurobi_pool,21.492900000000002,1100101100110000101,00000001000000000,110010110011000010100000001000000000
VQE_reduced_surrogate_top50_revisit,74010,1,1,3.0517578125e-5,-6.396956250000585,36,22.99249999999971,gurobi_pool,22.9925,1001110101010000101,00000101010000000,100111010101000010100000101010000000
VQE_reduced_surrogate_top50_revisit,74010,2,2,6.103515625e-5,4.196518749997267,34,22.898899999999855,gurobi_pool,22.8989,1100110101010000101,00000001011100000,110011010101000010100000001011100000
VQE_reduced_surrogate_top50_revisit,74010,3,1,3.0517578125e-5,4.207518749994506,35,22.909899999999823,gurobi_pool,22.9099,1010110101010000101,00000100011100000,101011010101000010100000100011100000
VQE_reduced_surrogate_top50_revisit,74010,4,1,3.0517578125e-5,13.477593750000096,32,21.492899999999736,gurobi_pool,21.492900000000002,1100101100110000101,00000001000000000,110010110011000010100000001000000000
