algorithm,seed,result,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits
VQE_reduced_surrogate_top50_revisit,74010,5,1,3.0517578125e-5,24.974743750008884,37,54.36419999999982,not_in_gurobi_pool,,1100110100111100011,00000000010101011,110011010011110001100000000010101011
VQE_reduced_surrogate_top50_revisit,74011,1,1,3.0517578125e-5,25.51774374999991,42,54.907199999999825,not_in_gurobi_pool,,1010110100111001011,00000000010101110,101011010011100101100000000010101110
VQE_reduced_surrogate_top50_revisit,74012,1,2,6.103515625e-5,-14.737956250001616,9,14.651499999999885,gurobi_pool,14.651499999999999,1001110110011010011,00000101010000101,100111011001101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74012,2,1,3.0517578125e-5,-10.782956249990775,28,18.606499999999812,gurobi_pool,18.6065,1001110101011001011,00000101010000110,100111010101100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74012,3,1,3.0517578125e-5,14.913268750003908,3,12.241499999999789,gurobi_pool,12.2415,1001110100111001011,00000000000001110,100111010011100101100000000000001110
VQE_reduced_surrogate_top50_revisit,74013,1,1,3.0517578125e-5,4.207518749994506,35,22.909899999999823,gurobi_pool,22.9099,1010110101010000101,00000100011100000,101011010101000010100000100011100000
VQE_reduced_surrogate_top50_revisit,74013,3,1,3.0517578125e-5,60.23056874999952,48,57.55879999999977,not_in_gurobi_pool,,0001110100111010011,00000000000001101,000111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74014,1,1,3.0517578125e-5,-0.7214812499867094,20,17.98089999999995,gurobi_pool,17.980900000000002,1100110101011100011,00000001011100011,110011010101110001100000001011100011
VQE_reduced_surrogate_top50_revisit,74014,2,1,3.0517578125e-5,8.559593749997475,13,16.574900000000014,gurobi_pool,16.5749,1100101100111100011,00000001000000011,110010110011110001100000001000000011
VQE_reduced_surrogate_top50_revisit,74015,1,1,3.0517578125e-5,25.08674374999896,40,54.476199999999785,not_in_gurobi_pool,,1010110100111010011,00000000010101101,101011010011101001100000000010101101
VQE_reduced_surrogate_top50_revisit,74015,8,2,6.103515625e-5,60.12956875000941,47,57.45779999999977,not_in_gurobi_pool,,0001110100111100011,00000000000001011,000111010011110001100000000000001011
VQE_reduced_surrogate_top50_revisit,74016,1,1,3.0517578125e-5,-0.6094812499948148,24,18.0928999999998,gurobi_pool,18.0929,1010110101011010011,00000100011100101,101011010101101001100000100011100101
VQE_reduced_surrogate_top50_revisit,74016,2,2,6.103515625e-5,14.913268750003908,3,12.241499999999789,gurobi_pool,12.2415,1001110100111001011,00000000000001110,100111010011100101100000000000001110
VQE_reduced_surrogate_top50_revisit,74017,1,1,3.0517578125e-5,8.559593749997475,13,16.574900000000014,gurobi_pool,16.5749,1100101100111100011,00000001000000011,110010110011110001100000001000000011
VQE_reduced_surrogate_top50_revisit,74018,1,4,0.0001220703125,-14.838956249999,6,14.550499999999772,gurobi_pool,14.5505,1001110110011100011,00000101010000011,100111011001110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74018,2,2,6.103515625e-5,-14.737956250001616,9,14.651499999999885,gurobi_pool,14.651499999999999,1001110110011010011,00000101010000101,100111011001101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74018,3,3,9.1552734375e-5,-14.306956250002486,12,15.082499999999925,gurobi_pool,15.0825,1001110110011001011,00000101010000110,100111011001100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74018,4,7,0.000213623046875,-11.31495624998729,22,18.074499999999887,gurobi_pool,18.0745,1001110101011100011,00000101010000011,100111010101110001100000101010000011
VQE_reduced_surrogate_top50_revisit,74018,5,4,0.0001220703125,-11.213956249992634,25,18.175499999999772,gurobi_pool,18.175500000000003,1001110101011010011,00000101010000101,100111010101101001100000101010000101
VQE_reduced_surrogate_top50_revisit,74018,6,1,3.0517578125e-5,-10.782956249990775,28,18.606499999999812,gurobi_pool,18.6065,1001110101011001011,00000101010000110,100111010101100101100000101010000110
VQE_reduced_surrogate_top50_revisit,74018,7,1,3.0517578125e-5,14.48226875000114,2,11.810499999999749,gurobi_pool,11.8105,1001110100111010011,00000000000001101,100111010011101001100000000000001101
VQE_reduced_surrogate_top50_revisit,74018,8,1,3.0517578125e-5,14.913268750003908,3,12.241499999999789,gurobi_pool,12.2415,1001110100111001011,00000000000001110,100111010011100101100000000000001110
VQE_reduced_surrogate_top50_revisit,74020,1,1,3.0517578125e-5,9.102593749998505,19,17.117899999999906,gurobi_pool,17.1179,1010101100111001011,00000100000000110,101010110011100101100000100000000110
